Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL
BVR,2014,2014-04-06 12:00:00,4.38,6.755,6.3875,10.89702
BVR,2014,2014-04-06 12:00:00,4.409,6.7427,6.3835,10.8799
BVR,2014,2014-04-06 12:00:00,4.436,6.7311,6.3756,10.87139
BVR,2014,2014-04-06 12:00:00,4.458,6.7212,6.3438,10.8641
BVR,2014,2014-04-06 12:00:00,4.48,6.7134,5.9987,10.85557
BVR,2014,2014-04-06 12:00:00,4.509,6.7075,6.0026,10.85545
BVR,2014,2014-04-06 12:00:00,4.538,6.703,6.0185,10.84743
BVR,2014,2014-04-06 12:00:00,4.572,6.6992,5.9907,10.84919
BVR,2014,2014-04-06 12:00:00,4.61,6.6957,6.0185,10.84961
BVR,2014,2014-04-06 12:00:00,4.648,6.6924,5.9907,10.85678
BVR,2014,2014-04-06 12:00:00,4.679,6.6891,6.0145,10.85018
BVR,2014,2014-04-06 12:00:00,4.702,6.6858,5.9987,10.84758
BVR,2014,2014-04-06 12:00:00,4.724,6.6824,5.6932,10.86203
BVR,2014,2014-04-06 12:00:00,4.755,6.6788,5.7011,10.85387
BVR,2014,2014-04-06 12:00:00,4.79,6.6747,5.7011,10.83762
BVR,2014,2014-04-06 12:00:00,4.823,6.6703,5.6852,10.82669
BVR,2014,2014-04-06 12:00:00,4.85,6.6659,5.6257,10.81486
BVR,2014,2014-04-06 12:00:00,4.876,6.662,5.6654,10.8073
BVR,2014,2014-04-06 12:00:00,4.899,6.6582,5.6218,10.79338
BVR,2014,2014-04-06 12:00:00,4.916,6.6541,5.6138,10.79078
BVR,2014,2014-04-06 12:00:00,4.936,6.649,5.6337,10.7889
BVR,2014,2014-04-06 12:00:00,4.957,6.6432,5.0743,10.78767
BVR,2014,2014-04-06 12:00:00,4.986,6.6375,5.0743,10.7805
BVR,2014,2014-04-06 12:00:00,5.025,6.632,5.0624,10.77507
BVR,2014,2014-04-06 12:00:00,5.062,6.6265,5.0782,10.77164
BVR,2014,2014-04-06 12:00:00,5.095,6.6204,5.3163,10.76169
BVR,2014,2014-04-06 12:00:00,5.127,6.6138,5.3242,10.77116
BVR,2014,2014-04-06 12:00:00,5.152,6.6072,5.3242,10.75465
BVR,2014,2014-04-06 12:00:00,5.174,6.6012,5.3282,10.75068
BVR,2014,2014-04-06 12:00:00,5.2,6.5962,5.6218,10.75168
BVR,2014,2014-04-06 12:00:00,5.235,6.5922,5.6297,10.75698
BVR,2014,2014-04-06 12:00:00,5.267,6.5892,5.6257,10.74257
BVR,2014,2014-04-06 12:00:00,5.294,6.5865,5.6337,10.73555
BVR,2014,2014-04-06 12:00:00,5.322,6.5839,4.8204,10.73018
BVR,2014,2014-04-06 12:00:00,5.348,6.5808,4.8362,10.72104
BVR,2014,2014-04-06 12:00:00,5.369,6.5775,4.8402,10.71441
BVR,2014,2014-04-06 12:00:00,5.394,6.5741,4.8164,10.70412
BVR,2014,2014-04-06 12:00:00,5.422,6.5707,4.8204,10.705
BVR,2014,2014-04-06 12:00:00,5.454,6.5672,5.0108,10.6991
BVR,2014,2014-04-06 12:00:00,5.492,6.5635,5.0029,10.68912
BVR,2014,2014-04-06 12:00:00,5.529,6.5593,5.0148,10.6919
BVR,2014,2014-04-06 12:00:00,5.557,6.5548,5.0227,10.68157
BVR,2014,2014-04-06 12:00:00,5.577,6.55,4.5466,10.68676
BVR,2014,2014-04-06 12:00:00,5.597,6.545,4.5149,10.674
BVR,2014,2014-04-06 12:00:00,5.618,6.5398,4.5387,10.66855
BVR,2014,2014-04-06 12:00:00,5.643,6.5344,4.5426,10.6579
BVR,2014,2014-04-06 12:00:00,5.673,6.529,4.4078,10.65744
BVR,2014,2014-04-06 12:00:00,5.705,6.5238,4.4038,10.65829
BVR,2014,2014-04-06 12:00:00,5.735,6.5192,4.4435,10.64291
BVR,2014,2014-04-06 12:00:00,5.764,6.5155,4.4157,10.6357
BVR,2014,2014-04-06 12:00:00,5.791,6.5127,4.3324,10.64201
BVR,2014,2014-04-06 12:00:00,5.816,6.5105,4.3641,10.65222
BVR,2014,2014-04-06 12:00:00,5.839,6.5086,4.376,10.61707
BVR,2014,2014-04-06 12:00:00,5.862,6.5067,4.3482,10.62695
BVR,2014,2014-04-06 12:00:00,5.887,6.5046,4.3562,10.62779
BVR,2014,2014-04-06 12:00:00,5.919,6.5025,4.2332,10.63368
BVR,2014,2014-04-06 12:00:00,5.954,6.5002,4.2015,10.61325
BVR,2014,2014-04-06 12:00:00,5.986,6.498,4.2134,10.61956
BVR,2014,2014-04-06 12:00:00,6.012,6.4958,4.2134,10.60296
BVR,2014,2014-04-06 12:00:00,6.032,6.4939,4.3562,10.595
BVR,2014,2014-04-06 12:00:00,6.051,6.4923,4.3482,10.60452
BVR,2014,2014-04-06 12:00:00,6.075,6.491,4.3482,10.59549
BVR,2014,2014-04-06 12:00:00,6.105,6.4899,4.3601,10.60024
BVR,2014,2014-04-06 12:00:00,6.138,6.4889,3.9555,10.59207
BVR,2014,2014-04-06 12:00:00,6.168,6.488,3.9634,10.60445
BVR,2014,2014-04-06 12:00:00,6.199,6.4871,3.9793,10.59692
BVR,2014,2014-04-06 12:00:00,6.224,6.4858,3.9793,10.59623
BVR,2014,2014-04-06 12:00:00,6.251,6.4838,4.0269,10.59617
BVR,2014,2014-04-06 12:00:00,6.279,6.4812,4.0388,10.59111
BVR,2014,2014-04-06 12:00:00,6.305,6.4783,4.0507,10.6022
BVR,2014,2014-04-06 12:00:00,6.333,6.4752,4.015,10.60536
BVR,2014,2014-04-06 12:00:00,6.362,6.4722,4.015,10.60333
BVR,2014,2014-04-06 12:00:00,6.392,6.4696,3.7888,10.60374
BVR,2014,2014-04-06 12:00:00,6.424,6.4673,3.7928,10.59352
BVR,2014,2014-04-06 12:00:00,6.459,6.4653,3.7769,10.57803
BVR,2014,2014-04-06 12:00:00,6.494,6.4633,3.7611,10.57098
BVR,2014,2014-04-06 12:00:00,6.522,6.461,3.7928,10.55771
BVR,2014,2014-04-06 12:00:00,6.546,6.4582,3.7531,10.55934
BVR,2014,2014-04-06 12:00:00,6.575,6.4547,3.7809,10.54307
BVR,2014,2014-04-06 12:00:00,6.609,6.4505,3.7928,10.53953
BVR,2014,2014-04-06 12:00:00,6.644,6.4458,3.9079,10.53134
BVR,2014,2014-04-06 12:00:00,6.673,6.4411,3.896,10.53807
BVR,2014,2014-04-06 12:00:00,6.695,6.4369,3.9118,10.52639
BVR,2014,2014-04-06 12:00:00,6.719,6.4333,3.9079,10.51856
BVR,2014,2014-04-06 12:00:00,6.746,6.4301,4.0071,10.51308
BVR,2014,2014-04-06 12:00:00,6.776,6.4268,4.0348,10.50807
BVR,2014,2014-04-06 12:00:00,6.809,6.423,4.0467,10.50755
BVR,2014,2014-04-06 12:00:00,6.848,6.4186,4.0388,10.51286
BVR,2014,2014-04-06 12:00:00,6.885,6.4137,4.0428,10.50035
BVR,2014,2014-04-06 12:00:00,6.917,6.409,3.7174,10.50386
BVR,2014,2014-04-06 12:00:00,6.948,6.4047,3.7333,10.49946
BVR,2014,2014-04-06 12:00:00,6.974,6.4011,3.7095,10.49204
BVR,2014,2014-04-06 12:00:00,7.005,6.3982,3.7055,10.49149
BVR,2014,2014-04-06 12:00:00,7.039,6.3958,3.773,10.4924
BVR,2014,2014-04-06 12:00:00,7.078,6.3939,3.7769,10.47646
BVR,2014,2014-04-06 12:00:00,7.114,6.3923,3.7611,10.48434
BVR,2014,2014-04-06 12:00:00,7.145,6.3909,3.773,10.4885
BVR,2014,2014-04-06 12:00:00,7.171,6.3897,3.3009,10.48428
BVR,2014,2014-04-06 12:00:00,7.194,6.3886,3.2652,10.48539
BVR,2014,2014-04-06 12:00:00,7.221,6.3876,3.281,10.49897
BVR,2014,2014-04-06 12:00:00,7.258,6.3866,3.2771,10.48356
