Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL,
SHR,2014,2014-06-26 12:00:00,3.459,26.3749,0.0833,8.39851,
SHR,2014,2014-06-26 12:00:00,3.482,26.3492,0.0794,8.43265,
SHR,2014,2014-06-26 12:00:00,3.505,26.3242,0.0833,8.45846,
SHR,2014,2014-06-26 12:00:00,3.523,26.2999,0.0873,8.48026,
SHR,2014,2014-06-26 12:00:00,3.539,26.2764,0.0873,8.54659,
SHR,2014,2014-06-26 12:00:00,3.559,26.2538,0.0833,8.68407,
SHR,2014,2014-06-26 12:00:00,3.578,26.2315,0.0794,8.84236,
SHR,2014,2014-06-26 12:00:00,3.597,26.2086,0.0794,9.07832,
SHR,2014,2014-06-26 12:00:00,3.607,26.1833,0.0714,9.47509,
SHR,2014,2014-06-26 12:00:00,3.605,26.1497,0.0952,9.94071,
SHR,2014,2014-06-26 12:00:00,3.6,26.0968,0.0754,10.29423,
SHR,2014,2014-06-26 12:00:00,3.61,26.0086,0.0833,10.48507,
SHR,2014,2014-06-26 12:00:00,3.635,25.8673,0.0873,10.61378,
SHR,2014,2014-06-26 12:00:00,3.665,25.6712,0.0873,10.8382,
SHR,2014,2014-06-26 12:00:00,3.69,25.4568,0.0675,11.17485,
SHR,2014,2014-06-26 12:00:00,3.702,25.2714,0.1468,11.57003,
SHR,2014,2014-06-26 12:00:00,3.701,25.1116,0.1548,11.93281,
SHR,2014,2014-06-26 12:00:00,3.701,24.9193,0.1468,12.19149,
SHR,2014,2014-06-26 12:00:00,3.714,24.6418,0.1389,12.35233,
SHR,2014,2014-06-26 12:00:00,3.748,24.279,0.1468,12.48486,
SHR,2014,2014-06-26 12:00:00,3.797,23.8789,0.1548,12.59996,
SHR,2014,2014-06-26 12:00:00,3.839,23.498,0.1389,12.72168,
SHR,2014,2014-06-26 12:00:00,3.863,23.1698,0.1389,12.83312,
SHR,2014,2014-06-26 12:00:00,3.879,22.8963,0.1349,12.90658,
SHR,2014,2014-06-26 12:00:00,3.897,22.6594,0.131,12.94896,
SHR,2014,2014-06-26 12:00:00,3.927,22.4416,0.131,12.98404,
SHR,2014,2014-06-26 12:00:00,3.961,22.2375,0.1508,13.01266,
SHR,2014,2014-06-26 12:00:00,3.989,22.0484,0.123,13.04902,
SHR,2014,2014-06-26 12:00:00,4.007,21.8742,0.2817,13.09362,
SHR,2014,2014-06-26 12:00:00,4.019,21.7115,0.2817,13.13575,
SHR,2014,2014-06-26 12:00:00,4.039,21.554,0.2896,13.1864,
SHR,2014,2014-06-26 12:00:00,4.071,21.397,0.2619,13.23727,
SHR,2014,2014-06-26 12:00:00,4.104,21.2423,0.2658,13.28079,
SHR,2014,2014-06-26 12:00:00,4.131,21.0936,0.2738,13.30197,
SHR,2014,2014-06-26 12:00:00,4.153,20.9531,0.2738,13.28427,
SHR,2014,2014-06-26 12:00:00,4.17,20.8167,0.2738,13.25714,
SHR,2014,2014-06-26 12:00:00,4.191,20.6767,0.2182,13.23155,
SHR,2014,2014-06-26 12:00:00,4.213,20.5297,0.2262,13.22639,
SHR,2014,2014-06-26 12:00:00,4.238,20.376,0.1984,13.23601,
SHR,2014,2014-06-26 12:00:00,4.256,20.2127,0.2024,13.24658,
SHR,2014,2014-06-26 12:00:00,4.273,20.032,0.2817,13.24913,
SHR,2014,2014-06-26 12:00:00,4.3,19.83,0.2738,13.25527,
SHR,2014,2014-06-26 12:00:00,4.333,19.6185,0.2698,13.26644,
SHR,2014,2014-06-26 12:00:00,4.364,19.42,0.2698,13.28345,
SHR,2014,2014-06-26 12:00:00,4.388,19.2525,0.2658,13.30689,
SHR,2014,2014-06-26 12:00:00,4.395,19.1184,0.2698,13.32647,
SHR,2014,2014-06-26 12:00:00,4.395,19.006,0.2777,13.32554,
SHR,2014,2014-06-26 12:00:00,4.404,18.8982,0.2738,13.31063,
SHR,2014,2014-06-26 12:00:00,4.425,18.7859,0.2619,13.30946,
SHR,2014,2014-06-26 12:00:00,4.454,18.677,0.3333,13.31221,
SHR,2014,2014-06-26 12:00:00,4.472,18.5874,0.3412,13.31554,
SHR,2014,2014-06-26 12:00:00,4.477,18.522,0.3412,13.30721,
SHR,2014,2014-06-26 12:00:00,4.48,18.4622,0.3373,13.28333,
SHR,2014,2014-06-26 12:00:00,4.488,18.3825,0.3412,13.27203,
SHR,2014,2014-06-26 12:00:00,4.511,18.2792,0.3293,13.2549,
SHR,2014,2014-06-26 12:00:00,4.539,18.1702,0.3293,13.23866,
SHR,2014,2014-06-26 12:00:00,4.565,18.0733,0.3452,13.2241,
SHR,2014,2014-06-26 12:00:00,4.58,17.9956,0.3333,13.21876,
SHR,2014,2014-06-26 12:00:00,4.586,17.9332,0.3135,13.18895,
SHR,2014,2014-06-26 12:00:00,4.593,17.8778,0.3373,13.16197,
SHR,2014,2014-06-26 12:00:00,4.607,17.8212,0.3412,13.12559,
SHR,2014,2014-06-26 12:00:00,4.63,17.7578,0.3412,13.08541,
SHR,2014,2014-06-26 12:00:00,4.654,17.686,0.3412,13.04575,
SHR,2014,2014-06-26 12:00:00,4.679,17.6076,0.3373,13.00968,
SHR,2014,2014-06-26 12:00:00,4.704,17.5253,0.3373,12.9718,
SHR,2014,2014-06-26 12:00:00,4.726,17.4418,0.3412,12.93959,
SHR,2014,2014-06-26 12:00:00,4.749,17.3598,0.3452,12.9032,
SHR,2014,2014-06-26 12:00:00,4.77,17.2822,0.3293,12.85959,
SHR,2014,2014-06-26 12:00:00,4.792,17.212,0.3254,12.82721,
SHR,2014,2014-06-26 12:00:00,4.808,17.1504,0.3174,12.79759,
SHR,2014,2014-06-26 12:00:00,4.821,17.0958,0.3333,12.76175,
