Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
FCR,2016,2016-05-16 12:00:00,1.686,16.7394,0.7556,1.6425,26.998821,7.15879,73.68143
FCR,2016,2016-05-16 12:00:00,1.689,16.7378,0.7565,1.6383,26.973225,7.12673,73.34897
FCR,2016,2016-05-16 12:00:00,1.691,16.736,0.7576,1.6358,26.954636,7.0969,73.03921
FCR,2016,2016-05-16 12:00:00,1.69,16.7338,0.7587,1.6401,26.942105,7.07385,72.79865
FCR,2016,2016-05-16 12:00:00,1.689,16.7314,0.7616,1.6433,26.932291,7.04282,72.47561
FCR,2016,2016-05-16 12:00:00,1.689,16.7288,0.7677,1.6393,26.930591,7.01443,72.17954
FCR,2016,2016-05-16 12:00:00,1.689,16.726,0.7774,1.6316,26.960597,6.99124,71.93666
FCR,2016,2016-05-16 12:00:00,1.689,16.7233,0.7895,1.6239,27.006267,6.96581,71.671
FCR,2016,2016-05-16 12:00:00,1.688,16.7208,0.7981,1.6176,27.02367,6.93548,71.3552
FCR,2016,2016-05-16 12:00:00,1.689,16.7185,0.8021,1.6167,27.001417,6.90669,71.05552
FCR,2016,2016-05-16 12:00:00,1.689,16.7165,0.8055,1.621,26.961628,6.88075,70.78572
FCR,2016,2016-05-16 12:00:00,1.689,16.7146,0.8089,1.6236,26.933768,6.86629,70.63415
FCR,2016,2016-05-16 12:00:00,1.69,16.7128,0.8109,1.624,26.920428,6.83806,70.34105
FCR,2016,2016-05-16 12:00:00,1.689,16.7111,0.8127,1.627,26.916046,6.82686,70.22335
FCR,2016,2016-05-16 12:00:00,1.689,16.7093,0.8146,1.6299,26.909434,6.80806,70.02733
FCR,2016,2016-05-16 12:00:00,1.69,16.7076,0.8145,1.629,26.890815,6.79082,69.84746
FCR,2016,2016-05-16 12:00:00,1.689,16.7059,0.8134,1.6273,26.887283,6.77756,69.70868
