Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
SHR,2015,2015-05-08 12:00:00,3.26,16.2313,0.1349,3.1122,10.695,10.43081,106.2976
SHR,2015,2015-05-08 12:00:00,3.285,16.2082,0.0754,3.1465,10.777,10.45163,106.45779
SHR,2015,2015-05-08 12:00:00,3.317,16.1874,0.0873,3.1294,10.883,10.46449,106.5419
SHR,2015,2015-05-08 12:00:00,3.347,16.1687,0.0952,3.0435,10.981,10.47705,106.62759
SHR,2015,2015-05-08 12:00:00,3.376,16.1512,0.0794,3.095,11.077,10.48403,106.65906
SHR,2015,2015-05-08 12:00:00,3.413,16.1338,0.0754,3.3697,11.196,10.48368,106.61621
SHR,2015,2015-05-08 12:00:00,3.451,16.1165,0.0873,3.3182,11.321,10.48775,106.61856
SHR,2015,2015-05-08 12:00:00,3.482,16.0997,0.0754,3.3182,11.424,10.48174,106.51952
SHR,2015,2015-05-08 12:00:00,3.511,16.0833,0.0635,3.3697,11.519,10.47755,106.43994
SHR,2015,2015-05-08 12:00:00,3.542,16.0659,0.0833,3.301,11.621,10.47382,106.36278
SHR,2015,2015-05-08 12:00:00,3.576,16.0462,0.1429,3.3182,11.733,10.46915,106.27099
SHR,2015,2015-05-08 12:00:00,3.604,16.0238,0.1349,3.404,11.825,10.46908,106.21982
SHR,2015,2015-05-08 12:00:00,3.63,15.9995,0.1468,3.3869,11.91,10.47266,106.20144
SHR,2015,2015-05-08 12:00:00,3.654,15.9747,0.1468,3.3354,11.987,10.4822,106.24228
SHR,2015,2015-05-08 12:00:00,3.678,15.9494,0.1389,3.301,12.068,10.49598,106.32488
SHR,2015,2015-05-08 12:00:00,3.7,15.9233,0.1508,3.404,12.14,10.52083,106.51752
SHR,2015,2015-05-08 12:00:00,3.722,15.8957,0.1389,3.3525,12.21,10.54526,106.70225
SHR,2015,2015-05-08 12:00:00,3.744,15.8662,0.131,3.3525,12.284,10.57117,106.89735
SHR,2015,2015-05-08 12:00:00,3.772,15.8343,0.0754,3.404,12.376,10.59843,107.10032
SHR,2015,2015-05-08 12:00:00,3.797,15.8,0.0873,3.3697,12.457,10.61681,107.20788
SHR,2015,2015-05-08 12:00:00,3.818,15.764,0.0794,3.3869,12.527,10.63465,107.30574
SHR,2015,2015-05-08 12:00:00,3.846,15.7273,0.0675,3.3869,12.617,10.65329,107.40979
SHR,2015,2015-05-08 12:00:00,3.88,15.6913,0.1468,3.4212,12.728,10.66344,107.42969
SHR,2015,2015-05-08 12:00:00,3.923,15.6573,0.1468,3.3869,12.869,10.67435,107.46155
SHR,2015,2015-05-08 12:00:00,3.973,15.6252,0.123,3.3525,13.035,10.69281,107.57365
SHR,2015,2015-05-08 12:00:00,4.018,15.5935,0.1548,3.507,13.183,10.70752,107.64866
SHR,2015,2015-05-08 12:00:00,4.047,15.5597,0.131,3.404,13.276,10.71948,107.69118
SHR,2015,2015-05-08 12:00:00,4.068,15.5224,0.131,3.3354,13.347,10.7298,107.70895
SHR,2015,2015-05-08 12:00:00,4.095,15.4814,0.123,3.3869,13.436,10.73925,107.70922
SHR,2015,2015-05-08 12:00:00,4.131,15.4379,0.1429,3.4212,13.553,10.74574,107.67404
SHR,2015,2015-05-08 12:00:00,4.17,15.3943,0.1468,3.3697,13.681,10.75218,107.638
SHR,2015,2015-05-08 12:00:00,4.207,15.3524,0.1389,3.3697,13.802,10.76799,107.6995
SHR,2015,2015-05-08 12:00:00,4.243,15.311,0.1468,3.4212,13.921,10.79203,107.84411
SHR,2015,2015-05-08 12:00:00,4.283,15.2674,0.1468,3.4212,14.052,10.8189,108.01141
SHR,2015,2015-05-08 12:00:00,4.312,15.2202,0.123,3.3525,14.147,10.84678,108.17997
SHR,2015,2015-05-08 12:00:00,4.333,15.1676,0.1389,3.4384,14.217,10.86608,108.24994
SHR,2015,2015-05-08 12:00:00,4.364,15.1071,0.1429,3.301,14.317,10.88447,108.29203
SHR,2015,2015-05-08 12:00:00,4.4,15.041,0.1349,3.404,14.436,10.89062,108.1989
