Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COMD_uScm,DO_mgL,PSAT,
FCR,2016,2016-05-16 12:00:00,0.818,16.8287,1.0661,2.2917,27.169512,8.09361,83.45898,
FCR,2016,2016-05-16 12:00:00,0.818,16.8282,1.0703,2.3111,27.170157,8.08833,83.4037,
FCR,2016,2016-05-16 12:00:00,0.82,16.8278,1.0759,2.3366,27.170212,8.08231,83.34089,
FCR,2016,2016-05-16 12:00:00,0.822,16.8275,1.0856,2.3727,27.163681,8.09026,83.42232,
FCR,2016,2016-05-16 12:00:00,0.822,16.8272,1.0994,2.4108,27.146817,8.10022,83.52457,
FCR,2016,2016-05-16 12:00:00,0.822,16.8271,1.1106,2.43,27.131154,8.11846,83.7124,
FCR,2016,2016-05-16 12:00:00,0.823,16.8272,1.1166,2.4275,27.114519,8.14304,83.96611,
FCR,2016,2016-05-16 12:00:00,0.823,16.8274,1.1192,2.4026,27.102495,8.1606,84.14752,
FCR,2016,2016-05-16 12:00:00,0.822,16.8279,1.1204,2.3636,27.11993,8.17194,84.2653,
FCR,2016,2016-05-16 12:00:00,0.822,16.8285,1.1209,2.3401,27.16947,8.17644,84.31283,
FCR,2016,2016-05-16 12:00:00,0.821,16.8291,1.1215,2.343,27.212225,8.17637,84.31317,
FCR,2016,2016-05-16 12:00:00,0.821,16.8297,1.1227,2.3639,27.221523,8.17598,84.31014,
FCR,2016,2016-05-16 12:00:00,0.822,16.8302,1.1235,2.4027,27.199843,8.1719,84.26895,
FCR,2016,2016-05-16 12:00:00,0.822,16.8305,1.1236,2.4527,27.147415,8.15895,84.13593,
FCR,2016,2016-05-16 12:00:00,0.821,16.8307,1.125,2.4915,27.094345,8.14856,84.02913,
FCR,2016,2016-05-16 12:00:00,0.822,16.8309,1.1266,2.5125,27.062548,8.13126,83.85113,
FCR,2016,2016-05-16 12:00:00,0.822,16.8313,1.1272,2.5235,27.059577,8.11959,83.73147,
FCR,2016,2016-05-16 12:00:00,0.822,16.8317,1.1277,2.5321,27.086643,8.11044,83.6378,
FCR,2016,2016-05-16 12:00:00,0.82,16.8321,1.1284,2.5404,27.104874,8.10976,83.63144,
FCR,2016,2016-05-16 12:00:00,0.821,16.8324,1.129,2.5462,27.101099,8.11967,83.73416,
FCR,2016,2016-05-16 12:00:00,0.822,16.8326,1.1305,2.5487,27.08433,8.13833,83.927,
FCR,2016,2016-05-16 12:00:00,0.822,16.8328,1.1318,2.5485,27.072137,8.16098,84.16087,
FCR,2016,2016-05-16 12:00:00,0.82,16.8331,1.1313,2.5491,27.081308,8.17648,84.32132,
FCR,2016,2016-05-16 12:00:00,0.819,16.8337,1.131,2.5495,27.092246,8.19125,84.47467,
FCR,2016,2016-05-16 12:00:00,0.816,16.8346,1.1315,2.5475,27.095844,8.20632,84.63169,
FCR,2016,2016-05-16 12:00:00,0.814,16.8357,1.1315,2.5472,27.08705,8.23439,84.92306,
FCR,2016,2016-05-16 12:00:00,0.811,16.8369,1.1317,2.5506,27.069531,8.25576,85.14563,
FCR,2016,2016-05-16 12:00:00,0.81,16.838,1.1326,2.5554,27.060658,8.27233,85.31854,
FCR,2016,2016-05-16 12:00:00,0.811,16.839,1.1335,2.557,27.05606,8.29396,85.54338,
FCR,2016,2016-05-16 12:00:00,0.811,16.8398,1.1333,2.5559,27.062527,8.31021,85.7124,
FCR,2016,2016-05-16 12:00:00,0.813,16.8402,1.1333,2.5574,27.091803,8.32434,85.85887,
FCR,2016,2016-05-16 12:00:00,0.813,16.8401,1.1364,2.5575,27.135663,8.32815,85.89797,
FCR,2016,2016-05-16 12:00:00,0.812,16.8396,1.1428,2.5505,27.173743,8.32467,85.8612,
FCR,2016,2016-05-16 12:00:00,0.811,16.8388,1.1533,2.5425,27.190146,8.32022,85.81387,
FCR,2016,2016-05-16 12:00:00,0.811,16.838,1.1642,2.5347,27.19526,8.31239,85.73173,
FCR,2016,2016-05-16 12:00:00,0.812,16.8373,1.1679,2.5182,27.19245,8.3063,85.66767,
FCR,2016,2016-05-16 12:00:00,0.812,16.8366,1.1649,2.4898,27.182972,8.30229,85.625,
FCR,2016,2016-05-16 12:00:00,0.812,16.8361,1.1586,2.4443,27.186341,8.31048,85.70856,
FCR,2016,2016-05-16 12:00:00,0.812,16.8356,1.151,2.3865,27.199448,8.31216,85.72503,
FCR,2016,2016-05-16 12:00:00,0.811,16.8352,1.1461,2.3436,27.201741,8.31784,85.78292,
FCR,2016,2016-05-16 12:00:00,0.812,16.8351,1.1458,2.3235,27.179804,8.32911,85.89896,
FCR,2016,2016-05-16 12:00:00,0.813,16.8353,1.1515,2.3116,27.151834,8.33631,85.97352,
FCR,2016,2016-05-16 12:00:00,0.813,16.8359,1.1608,2.3002,27.144439,8.34546,86.06896,
FCR,2016,2016-05-16 12:00:00,0.813,16.8365,1.1669,2.2909,27.153641,8.35249,86.14258,
FCR,2016,2016-05-16 12:00:00,0.813,16.8372,1.169,2.2834,27.163861,8.35127,86.1313,
FCR,2016,2016-05-16 12:00:00,0.813,16.838,1.1684,2.2747,27.177823,8.34369,86.05451,
FCR,2016,2016-05-16 12:00:00,0.813,16.8391,1.1618,2.2705,27.203258,8.33871,86.00515,
FCR,2016,2016-05-16 12:00:00,0.812,16.8405,1.1517,2.274,27.220898,8.33055,85.92347,
FCR,2016,2016-05-16 12:00:00,0.813,16.8422,1.1442,2.2773,27.229438,8.3231,85.84967,
FCR,2016,2016-05-16 12:00:00,0.813,16.8438,1.1389,2.281,27.23516,8.32583,85.88076,
FCR,2016,2016-05-16 12:00:00,0.813,16.8452,1.1349,2.2874,27.225566,8.32694,85.89468,
FCR,2016,2016-05-16 12:00:00,0.813,16.8463,1.1315,2.2902,27.216129,8.3316,85.94472,
FCR,2016,2016-05-16 12:00:00,0.814,16.8473,1.1273,2.2889,27.22237,8.34203,86.0542,
FCR,2016,2016-05-16 12:00:00,0.813,16.8481,1.124,2.2878,27.229922,8.34786,86.1157,
FCR,2016,2016-05-16 12:00:00,0.813,16.8489,1.1232,2.29,27.228774,8.35857,86.22763,
FCR,2016,2016-05-16 12:00:00,0.814,16.8495,1.1216,2.2928,27.218623,8.37284,86.37599,
FCR,2016,2016-05-16 12:00:00,0.814,16.8501,1.1171,2.2933,27.200767,8.39272,86.58211,
FCR,2016,2016-05-16 12:00:00,0.814,16.8508,1.1113,2.2929,27.180465,8.40571,86.71737,
FCR,2016,2016-05-16 12:00:00,0.814,16.8517,1.1025,2.288,27.172341,8.42437,86.91156,
FCR,2016,2016-05-16 12:00:00,0.814,16.8526,1.0896,2.2808,27.188256,8.43561,87.0291,
FCR,2016,2016-05-16 12:00:00,0.814,16.8536,1.0781,2.2785,27.218427,8.45512,87.23223,
FCR,2016,2016-05-16 12:00:00,0.815,16.8547,1.0716,2.2771,27.240841,8.46893,87.37676,
FCR,2016,2016-05-16 12:00:00,0.815,16.8556,1.0682,2.2727,27.245446,8.48103,87.50323,
FCR,2016,2016-05-16 12:00:00,0.815,16.8563,1.0657,2.2722,27.237476,8.48924,87.58918,
FCR,2016,2016-05-16 12:00:00,0.816,16.8564,1.0655,2.2777,27.230837,8.50319,87.7333,
FCR,2016,2016-05-16 12:00:00,0.816,16.8561,1.0688,2.2816,27.235782,8.51245,87.82837,
FCR,2016,2016-05-16 12:00:00,0.815,16.8554,1.0752,2.2814,27.237599,8.52509,87.95744,
FCR,2016,2016-05-16 12:00:00,0.815,16.8545,1.0853,2.2829,27.226753,8.5399,88.10865,
FCR,2016,2016-05-16 12:00:00,0.814,16.8537,1.0985,2.2806,27.210371,8.55419,88.25452,
FCR,2016,2016-05-16 12:00:00,0.814,16.8532,1.1095,2.2705,27.200115,8.57834,88.50281,
FCR,2016,2016-05-16 12:00:00,0.814,16.8531,1.1151,2.2638,27.205274,8.59365,88.66054,
FCR,2016,2016-05-16 12:00:00,0.814,16.8533,1.119,2.2609,27.215201,8.60838,88.81291,
FCR,2016,2016-05-16 12:00:00,0.814,16.8538,1.1227,2.2598,27.22653,8.62345,88.96932,
FCR,2016,2016-05-16 12:00:00,0.814,16.8543,1.1245,2.2638,27.238276,8.63931,89.13391,
FCR,2016,2016-05-16 12:00:00,0.813,16.8546,1.1259,2.2693,27.23754,8.65378,89.28376,
FCR,2016,2016-05-16 12:00:00,0.813,16.8546,1.1277,2.2731,27.218113,8.66819,89.43238,
FCR,2016,2016-05-16 12:00:00,0.813,16.8543,1.1281,2.2752,27.198862,8.67395,89.49127,
FCR,2016,2016-05-16 12:00:00,0.813,16.8537,1.1281,2.2796,27.208718,8.67961,89.5485,
FCR,2016,2016-05-16 12:00:00,0.813,16.8529,1.1282,2.2862,27.240291,8.68264,89.57834,
FCR,2016,2016-05-16 12:00:00,0.813,16.8519,1.1274,2.2911,27.277953,8.69057,89.65819,
FCR,2016,2016-05-16 12:00:00,0.814,16.8511,1.1262,2.2968,27.307702,8.69691,89.72212,
FCR,2016,2016-05-16 12:00:00,0.813,16.8504,1.1254,2.3014,27.31142,8.69663,89.71798,
FCR,2016,2016-05-16 12:00:00,0.813,16.8501,1.1242,2.2991,27.290099,8.70407,89.7941,
FCR,2016,2016-05-16 12:00:00,0.813,16.8502,1.122,2.2941,27.254084,8.71262,89.8825,
FCR,2016,2016-05-16 12:00:00,0.813,16.8506,1.1196,2.2895,27.21381,8.72453,90.00611,
FCR,2016,2016-05-16 12:00:00,0.812,16.8512,1.1175,2.283,27.172564,8.71747,89.93437,
FCR,2016,2016-05-16 12:00:00,0.812,16.8519,1.1141,2.2762,27.147402,8.7157,89.91745,
FCR,2016,2016-05-16 12:00:00,0.814,16.8527,1.109,2.2674,27.151651,8.71657,89.92795,
