Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL
CCR,2014,2014-05-08 12:00:00,5.47,13.6627,2.0789,9.8669
CCR,2014,2014-05-08 12:00:00,5.511,13.5754,2.0988,9.87153
CCR,2014,2014-05-08 12:00:00,5.55,13.4902,2.1265,9.88284
CCR,2014,2014-05-08 12:00:00,5.583,13.4105,2.2813,9.87793
CCR,2014,2014-05-08 12:00:00,5.615,13.3383,2.3011,9.88354
CCR,2014,2014-05-08 12:00:00,5.653,13.2748,2.2892,9.87936
CCR,2014,2014-05-08 12:00:00,5.688,13.22,2.2971,9.88372
CCR,2014,2014-05-08 12:00:00,5.719,13.1719,2.4082,9.87998
CCR,2014,2014-05-08 12:00:00,5.743,13.126,2.4161,9.87477
CCR,2014,2014-05-08 12:00:00,5.77,13.077,2.3963,9.86218
CCR,2014,2014-05-08 12:00:00,5.811,13.0205,2.4082,9.84746
CCR,2014,2014-05-08 12:00:00,5.862,12.9562,2.559,9.83781
CCR,2014,2014-05-08 12:00:00,5.908,12.8886,2.555,9.83332
CCR,2014,2014-05-08 12:00:00,5.942,12.8226,2.5233,9.83756
CCR,2014,2014-05-08 12:00:00,5.966,12.7599,2.5391,9.83494
CCR,2014,2014-05-08 12:00:00,5.99,12.6989,2.5391,9.84659
CCR,2014,2014-05-08 12:00:00,6.022,12.637,2.674,9.85735
CCR,2014,2014-05-08 12:00:00,6.063,12.5723,2.6701,9.86157
CCR,2014,2014-05-08 12:00:00,6.104,12.5052,2.6939,9.86752
CCR,2014,2014-05-08 12:00:00,6.14,12.4375,2.6859,9.87412
CCR,2014,2014-05-08 12:00:00,6.167,12.3706,2.7256,9.86806
CCR,2014,2014-05-08 12:00:00,6.192,12.3048,2.7216,9.87435
CCR,2014,2014-05-08 12:00:00,6.219,12.24,2.7494,9.88928
CCR,2014,2014-05-08 12:00:00,6.252,12.1759,2.7058,9.89153
CCR,2014,2014-05-08 12:00:00,6.292,12.113,2.801,9.88982
CCR,2014,2014-05-08 12:00:00,6.327,12.0522,2.797,9.90358
CCR,2014,2014-05-08 12:00:00,6.356,11.9941,2.8089,9.91517
CCR,2014,2014-05-08 12:00:00,6.387,11.9384,2.793,9.91318
CCR,2014,2014-05-08 12:00:00,6.431,11.8855,2.92,9.90557
CCR,2014,2014-05-08 12:00:00,6.481,11.837,2.924,9.88298
CCR,2014,2014-05-08 12:00:00,6.519,11.7953,2.9121,9.87719
CCR,2014,2014-05-08 12:00:00,6.544,11.7619,2.9398,9.88747
CCR,2014,2014-05-08 12:00:00,6.557,11.7362,2.92,9.88161
CCR,2014,2014-05-08 12:00:00,6.563,11.7137,3.043,9.87858
CCR,2014,2014-05-08 12:00:00,6.584,11.6875,3.043,9.86661
CCR,2014,2014-05-08 12:00:00,6.633,11.6547,3.0747,9.86048
CCR,2014,2014-05-08 12:00:00,6.696,11.618,3.0628,9.85748
CCR,2014,2014-05-08 12:00:00,6.75,11.5822,3.1065,9.86347
CCR,2014,2014-05-08 12:00:00,6.78,11.551,3.1104,9.86625
CCR,2014,2014-05-08 12:00:00,6.794,11.5244,3.1144,9.88324
CCR,2014,2014-05-08 12:00:00,6.808,11.4984,3.1184,9.89452
CCR,2014,2014-05-08 12:00:00,6.836,11.4685,3.166,9.89978
CCR,2014,2014-05-08 12:00:00,6.887,11.4337,3.1858,9.91036
CCR,2014,2014-05-08 12:00:00,6.94,11.3967,3.1818,9.90874
CCR,2014,2014-05-08 12:00:00,6.979,11.3601,3.162,9.91669
CCR,2014,2014-05-08 12:00:00,7,11.3254,3.2493,9.92103
CCR,2014,2014-05-08 12:00:00,7.016,11.2927,3.2533,9.92388
CCR,2014,2014-05-08 12:00:00,7.036,11.2617,3.2414,9.93057
CCR,2014,2014-05-08 12:00:00,7.074,11.2318,3.2295,9.93301
CCR,2014,2014-05-08 12:00:00,7.121,11.2024,3.2414,9.93333
CCR,2014,2014-05-08 12:00:00,7.16,11.1729,3.2374,9.93291
CCR,2014,2014-05-08 12:00:00,7.189,11.1432,3.2414,9.93093
CCR,2014,2014-05-08 12:00:00,7.211,11.1132,3.2493,9.92514
CCR,2014,2014-05-08 12:00:00,7.238,11.082,3.2572,9.9273
CCR,2014,2014-05-08 12:00:00,7.284,11.0493,3.3723,9.92118
CCR,2014,2014-05-08 12:00:00,7.346,11.0158,3.3643,9.91588
CCR,2014,2014-05-08 12:00:00,7.394,10.9836,3.3802,9.92038
CCR,2014,2014-05-08 12:00:00,7.421,10.9543,3.3762,9.92749
CCR,2014,2014-05-08 12:00:00,7.436,10.9281,3.3604,9.93752
CCR,2014,2014-05-08 12:00:00,7.451,10.9033,3.3723,9.93342
CCR,2014,2014-05-08 12:00:00,7.476,10.8777,3.3683,9.93517
CCR,2014,2014-05-08 12:00:00,7.517,10.8506,3.3683,9.93107
CCR,2014,2014-05-08 12:00:00,7.561,10.8223,3.4358,9.92545
CCR,2014,2014-05-08 12:00:00,7.6,10.794,3.4477,9.9186
CCR,2014,2014-05-08 12:00:00,7.632,10.7665,3.4318,9.92716
CCR,2014,2014-05-08 12:00:00,7.655,10.7403,3.4278,9.94197
CCR,2014,2014-05-08 12:00:00,7.675,10.715,3.4397,9.95306
CCR,2014,2014-05-08 12:00:00,7.698,10.69,3.4953,9.96935
CCR,2014,2014-05-08 12:00:00,7.724,10.6642,3.4873,9.97752
CCR,2014,2014-05-08 12:00:00,7.762,10.6365,3.4992,9.97836
CCR,2014,2014-05-08 12:00:00,7.817,10.6067,3.4992,9.97973
CCR,2014,2014-05-08 12:00:00,7.875,10.5763,3.6063,9.98086
CCR,2014,2014-05-08 12:00:00,7.921,10.5487,3.6302,9.97258
CCR,2014,2014-05-08 12:00:00,7.941,10.5275,3.6302,9.95949
CCR,2014,2014-05-08 12:00:00,7.937,10.5123,3.646,9.95621
CCR,2014,2014-05-08 12:00:00,7.931,10.4967,3.3604,9.9365
