Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,DO_mgL
BVR,2015,2015-05-15 12:00:00,2.053,18.3767,1.341,4.4855,10.35812
BVR,2015,2015-05-15 12:00:00,2.068,18.294,1.3291,4.5542,10.37958
BVR,2015,2015-05-15 12:00:00,2.079,18.2049,1.3212,4.64,10.38554
BVR,2015,2015-05-15 12:00:00,2.092,18.1126,1.337,4.4855,10.39323
BVR,2015,2015-05-15 12:00:00,2.113,18.0216,1.3807,4.2452,10.38965
BVR,2015,2015-05-15 12:00:00,2.138,17.9345,1.3846,4.2795,10.37979
BVR,2015,2015-05-15 12:00:00,2.158,17.8511,1.4045,4.331,10.36901
BVR,2015,2015-05-15 12:00:00,2.173,17.7688,1.3965,4.2795,10.35959
BVR,2015,2015-05-15 12:00:00,2.19,17.6851,1.6862,4.331,10.35716
BVR,2015,2015-05-15 12:00:00,2.208,17.6001,1.7139,4.2967,10.35836
BVR,2015,2015-05-15 12:00:00,2.227,17.514,1.6981,4.2452,10.36051
BVR,2015,2015-05-15 12:00:00,2.251,17.4241,1.706,4.1765,10.36407
BVR,2015,2015-05-15 12:00:00,2.272,17.3293,1.706,4.1593,10.37107
BVR,2015,2015-05-15 12:00:00,2.284,17.2327,1.5235,4.2623,10.37854
BVR,2015,2015-05-15 12:00:00,2.301,17.1393,1.5116,4.2108,10.3886
BVR,2015,2015-05-15 12:00:00,2.328,17.0521,1.4957,4.2795,10.3988
BVR,2015,2015-05-15 12:00:00,2.352,16.973,1.5275,4.3482,10.4059
BVR,2015,2015-05-15 12:00:00,2.368,16.9037,1.2735,4.2967,10.41495
BVR,2015,2015-05-15 12:00:00,2.384,16.8438,1.2616,4.2623,10.42255
BVR,2015,2015-05-15 12:00:00,2.409,16.7909,1.2537,4.2967,10.42475
BVR,2015,2015-05-15 12:00:00,2.437,16.7421,1.2616,4.2623,10.42549
BVR,2015,2015-05-15 12:00:00,2.458,16.6953,1.1307,3.9362,10.423
BVR,2015,2015-05-15 12:00:00,2.471,16.6497,1.1188,4.0049,10.41801
BVR,2015,2015-05-15 12:00:00,2.485,16.6047,1.1307,4.0049,10.40505
BVR,2015,2015-05-15 12:00:00,2.499,16.5604,1.1585,3.9877,10.39466
BVR,2015,2015-05-15 12:00:00,2.512,16.5165,1.0117,3.9877,10.37934
BVR,2015,2015-05-15 12:00:00,2.527,16.4721,1.0236,4.125,10.37434
BVR,2015,2015-05-15 12:00:00,2.545,16.4258,1.0196,3.9705,10.37007
BVR,2015,2015-05-15 12:00:00,2.56,16.3749,0.9958,3.9705,10.37382
BVR,2015,2015-05-15 12:00:00,2.576,16.3178,0.98,3.9362,10.38119
BVR,2015,2015-05-15 12:00:00,2.598,16.2561,1.1387,4.228,10.39067
BVR,2015,2015-05-15 12:00:00,2.616,16.193,1.1307,4.2108,10.40084
BVR,2015,2015-05-15 12:00:00,2.632,16.1304,1.1268,4.3482,10.40622
BVR,2015,2015-05-15 12:00:00,2.652,16.0694,1.1387,4.331,10.41339
BVR,2015,2015-05-15 12:00:00,2.673,16.0108,1.1942,3.9877,10.41739
BVR,2015,2015-05-15 12:00:00,2.697,15.9551,1.1823,3.9534,10.42212
BVR,2015,2015-05-15 12:00:00,2.719,15.9018,1.2021,4.0564,10.41525
BVR,2015,2015-05-15 12:00:00,2.742,15.8496,1.2021,3.9534,10.40731
BVR,2015,2015-05-15 12:00:00,2.764,15.7977,1.2577,4.0049,10.39609
BVR,2015,2015-05-15 12:00:00,2.782,15.7471,1.2418,4.022,10.38245
BVR,2015,2015-05-15 12:00:00,2.797,15.6984,1.2616,4.0049,10.37093
BVR,2015,2015-05-15 12:00:00,2.814,15.6506,1.2616,3.9705,10.36145
BVR,2015,2015-05-15 12:00:00,2.833,15.602,1.1307,3.9877,10.35994
BVR,2015,2015-05-15 12:00:00,2.854,15.55,1.1268,4.0392,10.35958
BVR,2015,2015-05-15 12:00:00,2.873,15.4927,1.1307,4.0049,10.37114
BVR,2015,2015-05-15 12:00:00,2.886,15.4312,1.1228,4.0564,10.38401
BVR,2015,2015-05-15 12:00:00,2.9,15.3679,1.1387,3.9877,10.39159
BVR,2015,2015-05-15 12:00:00,2.92,15.3058,1.2696,4.022,10.39671
BVR,2015,2015-05-15 12:00:00,2.946,15.2471,1.2696,3.9705,10.39737
BVR,2015,2015-05-15 12:00:00,2.973,15.1927,1.2656,4.022,10.39437
