Reservoir,Site,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
CCR,CCR,2016-05-13 09:42:00,1.348,20.1407,1.4506,1.1203,79.151826,9.47378,104.5241
CCR,CCR,2016-05-13 09:42:00,1.349,20.1401,1.4528,1.1053,79.145459,9.47061,104.48794
CCR,CCR,2016-05-13 09:42:00,1.337,20.139,1.4538,1.0976,79.11654,9.46869,104.46436
CCR,CCR,2016-05-13 09:42:00,1.331,20.1381,1.4548,1.0917,79.105573,9.46338,104.40402
CCR,CCR,2016-05-13 09:42:00,1.346,20.1375,1.4549,1.0803,79.123694,9.46091,104.37543
CCR,CCR,2016-05-13 09:42:00,1.379,20.1372,1.4544,1.073,79.139576,9.46204,104.38737
CCR,CCR,2016-05-13 09:42:00,1.407,20.137,1.4544,1.0758,79.131338,9.45771,104.33916
CCR,CCR,2016-05-13 09:42:00,1.425,20.1372,1.4544,1.086,79.1229,9.46201,104.38695
CCR,CCR,2016-05-13 09:42:00,1.432,20.1376,1.4536,1.1075,79.144153,9.46866,104.46116
CCR,CCR,2016-05-13 09:42:00,1.429,20.1383,1.4525,1.1472,79.176658,9.46121,104.38051
CCR,CCR,2016-05-13 09:42:00,1.424,20.1391,1.451,1.194,79.182877,9.45939,104.36207
CCR,CCR,2016-05-13 09:42:00,1.418,20.1402,1.4474,1.2236,79.154425,9.4518,104.28052
CCR,CCR,2016-05-13 09:42:00,1.411,20.1411,1.4415,1.2268,79.107822,9.4473,104.2328
CCR,CCR,2016-05-13 09:42:00,1.406,20.1417,1.4331,1.1998,79.076843,9.44344,104.19143
CCR,CCR,2016-05-13 09:42:00,1.387,20.1416,1.4219,1.1549,79.08939,9.44136,104.16829
CCR,CCR,2016-05-13 09:42:00,1.36,20.1407,1.412,1.1238,79.118674,9.44084,104.16065
CCR,CCR,2016-05-13 09:42:00,1.347,20.1393,1.4062,1.1117,79.114246,9.44414,104.19414
CCR,CCR,2016-05-13 09:42:00,1.353,20.1378,1.404,1.1074,79.072916,9.45332,104.29233
CCR,CCR,2016-05-13 09:42:00,1.382,20.1365,1.406,1.1121,79.047949,9.46354,104.40239
CCR,CCR,2016-05-13 09:42:00,1.424,20.1351,1.4134,1.127,79.06081,9.46594,104.426
CCR,CCR,2016-05-13 09:42:00,1.454,20.1332,1.4264,1.1504,79.078771,9.46982,104.46482
CCR,CCR,2016-05-13 09:42:00,1.456,20.1306,1.4465,1.1886,79.090548,9.47146,104.47758
CCR,CCR,2016-05-13 09:42:00,1.444,20.1277,1.4715,1.238,79.08723,9.47077,104.46392
CCR,CCR,2016-05-13 09:42:00,1.448,20.1251,1.4919,1.2728,79.063911,9.46613,104.40736
CCR,CCR,2016-05-13 09:42:00,1.473,20.1231,1.5034,1.2864,79.052545,9.46329,104.37196
CCR,CCR,2016-05-13 09:42:00,1.509,20.1213,1.5093,1.2949,79.072197,9.45975,104.32921
CCR,CCR,2016-05-13 09:42:00,1.544,20.1197,1.5129,1.3028,79.089939,9.46546,104.38887
CCR,CCR,2016-05-13 09:42:00,1.573,20.1179,1.5158,1.3066,79.060279,9.46414,104.3705
CCR,CCR,2016-05-13 09:42:00,1.586,20.1159,1.5185,1.3072,78.999414,9.45947,104.3149
CCR,CCR,2016-05-13 09:42:00,1.597,20.1137,1.5221,1.3118,78.96946,9.45947,104.31032
CCR,CCR,2016-05-13 09:42:00,1.619,20.1112,1.5273,1.3169,78.990554,9.46427,104.35809
CCR,CCR,2016-05-13 09:42:00,1.644,20.1091,1.5334,1.3148,79.028143,9.46503,104.36216
CCR,CCR,2016-05-13 09:42:00,1.666,20.1076,1.5402,1.3084,79.046046,9.47008,104.41467
CCR,CCR,2016-05-13 09:42:00,1.687,20.1067,1.5504,1.2947,79.032967,9.47448,104.46138
CCR,CCR,2016-05-13 09:42:00,1.713,20.106,1.5681,1.2643,79.001488,9.48007,104.52149
CCR,CCR,2016-05-13 09:42:00,1.732,20.1052,1.5905,1.2254,78.983393,9.48776,104.60459
CCR,CCR,2016-05-13 09:42:00,1.741,20.1043,1.6077,1.1983,78.995954,9.49478,104.68014
CCR,CCR,2016-05-13 09:42:00,1.752,20.1033,1.6154,1.1918,79.030466,9.49613,104.69296
CCR,CCR,2016-05-13 09:42:00,1.767,20.1022,1.613,1.2156,79.057964,9.49561,104.68498
CCR,CCR,2016-05-13 09:42:00,1.787,20.101,1.6046,1.2602,79.057655,9.48763,104.59446
CCR,CCR,2016-05-13 09:42:00,1.806,20.0997,1.5978,1.2904,79.057583,9.48053,104.51356
CCR,CCR,2016-05-13 09:42:00,1.819,20.0982,1.5933,1.3028,79.073799,9.47564,104.45654
CCR,CCR,2016-05-13 09:42:00,1.831,20.0968,1.5902,1.3087,79.086521,9.47122,104.40497
CCR,CCR,2016-05-13 09:42:00,1.843,20.0957,1.5903,1.3076,79.091104,9.47114,104.40173
CCR,CCR,2016-05-13 09:42:00,1.857,20.0948,1.5932,1.3047,79.080737,9.46818,104.36721
CCR,CCR,2016-05-13 09:42:00,1.879,20.0941,1.5975,1.3074,79.052653,9.46883,104.37301
CCR,CCR,2016-05-13 09:42:00,1.904,20.0934,1.6051,1.3152,79.041551,9.47006,104.38507
CCR,CCR,2016-05-13 09:42:00,1.919,20.0927,1.6173,1.3187,79.062551,9.47562,104.44487
CCR,CCR,2016-05-13 09:42:00,1.927,20.0918,1.631,1.3176,79.093126,9.48448,104.54077
CCR,CCR,2016-05-13 09:42:00,1.934,20.0907,1.6433,1.3244,79.109289,9.49547,104.65955
CCR,CCR,2016-05-13 09:42:00,1.942,20.0894,1.656,1.3351,79.093251,9.49767,104.6811
CCR,CCR,2016-05-13 09:42:00,1.95,20.0877,1.6731,1.3412,79.052789,9.50528,104.76145
CCR,CCR,2016-05-13 09:42:00,1.959,20.0855,1.6938,1.3453,79.023318,9.50982,104.80686
CCR,CCR,2016-05-13 09:42:00,1.973,20.0826,1.7131,1.3475,79.025103,9.51293,104.8351
CCR,CCR,2016-05-13 09:42:00,1.986,20.079,1.7309,1.3494,79.052593,9.5127,104.82512
CCR,CCR,2016-05-13 09:42:00,1.999,20.0749,1.7535,1.354,79.082986,9.52003,104.89737
CCR,CCR,2016-05-13 09:42:00,2.019,20.07,1.7797,1.3565,79.08019,9.5286,104.98157
CCR,CCR,2016-05-13 09:42:00,2.039,20.0639,1.7979,1.3521,79.045469,9.53113,104.99676
CCR,CCR,2016-05-13 09:42:00,2.06,20.0566,1.8027,1.343,79.01175,9.53626,105.03803
CCR,CCR,2016-05-13 09:42:00,2.081,20.0487,1.7976,1.3337,79.014238,9.54094,105.07306
CCR,CCR,2016-05-13 09:42:00,2.105,20.0407,1.7836,1.3284,79.067658,9.54693,105.12243
CCR,CCR,2016-05-13 09:42:00,2.134,20.0322,1.7639,1.3292,79.117952,9.55453,105.1883
CCR,CCR,2016-05-13 09:42:00,2.16,20.0226,1.7482,1.3306,79.102192,9.56723,105.30803
CCR,CCR,2016-05-13 09:42:00,2.18,20.0121,1.743,1.3295,79.050327,9.58368,105.46711
CCR,CCR,2016-05-13 09:42:00,2.198,20.0013,1.7477,1.3269,79.028883,9.59497,105.56872
CCR,CCR,2016-05-13 09:42:00,2.213,19.9897,1.7566,1.3208,79.05022,9.60403,105.64402
CCR,CCR,2016-05-13 09:42:00,2.224,19.9764,1.7623,1.3084,79.091904,9.61564,105.74386
CCR,CCR,2016-05-13 09:42:00,2.234,19.961,1.7638,1.282,79.130897,9.61958,105.75479
CCR,CCR,2016-05-13 09:42:00,2.247,19.9443,1.7613,1.2288,79.145455,9.61519,105.67144
CCR,CCR,2016-05-13 09:42:00,2.261,19.9278,1.758,1.1654,79.125398,9.61416,105.62546
CCR,CCR,2016-05-13 09:42:00,2.275,19.913,1.7631,1.123,79.097517,9.61012,105.54998
CCR,CCR,2016-05-13 09:42:00,2.288,19.8999,1.7817,1.1006,79.096566,9.62023,105.63348
CCR,CCR,2016-05-13 09:42:00,2.3,19.887,1.8171,1.09,79.122288,9.63057,105.71988
CCR,CCR,2016-05-13 09:42:00,2.315,19.8727,1.8613,1.0848,79.153419,9.63202,105.7057
CCR,CCR,2016-05-13 09:42:00,2.329,19.8573,1.8932,1.077,79.164105,9.63728,105.73096
CCR,CCR,2016-05-13 09:42:00,2.347,19.8419,1.9041,1.0677,79.141124,9.63807,105.70729
CCR,CCR,2016-05-13 09:42:00,2.371,19.8259,1.8953,1.0614,79.10848,9.64359,105.73412
CCR,CCR,2016-05-13 09:42:00,2.39,19.8085,1.8649,1.0633,79.105682,9.64773,105.74285
CCR,CCR,2016-05-13 09:42:00,2.399,19.7894,1.8231,1.0738,79.129973,9.64864,105.71255
CCR,CCR,2016-05-13 09:42:00,2.409,19.7698,1.7935,1.0958,79.129572,9.65147,105.70218
CCR,CCR,2016-05-13 09:42:00,2.421,19.7507,1.7852,1.1352,79.084281,9.65093,105.65599
CCR,CCR,2016-05-13 09:42:00,2.433,19.732,1.7948,1.1898,79.012156,9.65091,105.61642
CCR,CCR,2016-05-13 09:42:00,2.449,19.7137,1.8157,1.2491,78.930123,9.65429,105.61478
CCR,CCR,2016-05-13 09:42:00,2.465,19.6965,1.8373,1.2945,78.878581,9.65707,105.60894
CCR,CCR,2016-05-13 09:42:00,2.48,19.6809,1.8575,1.3187,78.873917,9.65587,105.5629
CCR,CCR,2016-05-13 09:42:00,2.497,19.6664,1.8809,1.3292,78.864664,9.65361,105.50766
CCR,CCR,2016-05-13 09:42:00,2.519,19.6527,1.9056,1.3335,78.804157,9.65342,105.47672
CCR,CCR,2016-05-13 09:42:00,2.544,19.6404,1.9227,1.335,78.71242,9.65887,105.51027
CCR,CCR,2016-05-13 09:42:00,2.571,19.6304,1.9287,1.3317,78.615211,9.65977,105.49896
CCR,CCR,2016-05-13 09:42:00,2.604,19.6227,1.926,1.3251,78.49464,9.66238,105.51122
CCR,CCR,2016-05-13 09:42:00,2.633,19.6171,1.9189,1.3204,78.368776,9.66399,105.51697
CCR,CCR,2016-05-13 09:42:00,2.65,19.6132,1.913,1.3128,78.286417,9.66494,105.51902
CCR,CCR,2016-05-13 09:42:00,2.663,19.6102,1.9092,1.2945,78.249705,9.66251,105.48616
CCR,CCR,2016-05-13 09:42:00,2.673,19.6076,1.9062,1.2653,78.228762,9.65904,105.44277
CCR,CCR,2016-05-13 09:42:00,2.683,19.6045,1.9055,1.2219,78.181842,9.66144,105.46243
CCR,CCR,2016-05-13 09:42:00,2.697,19.6009,1.9075,1.1689,78.118531,9.65264,105.3588
CCR,CCR,2016-05-13 09:42:00,2.712,19.5972,1.9104,1.1286,78.092253,9.66552,105.49152
CCR,CCR,2016-05-13 09:42:00,2.726,19.5938,1.9154,1.111,78.104037,9.65955,105.41922
CCR,CCR,2016-05-13 09:42:00,2.742,19.5908,1.9249,1.1056,78.144971,9.65878,105.40449
CCR,CCR,2016-05-13 09:42:00,2.756,19.5882,1.9359,1.1065,78.232,9.67094,105.53175
CCR,CCR,2016-05-13 09:42:00,2.77,19.5859,1.9431,1.1184,78.350161,9.66493,105.4614
CCR,CCR,2016-05-13 09:42:00,2.785,19.5833,1.9453,1.1433,78.454629,9.66175,105.4212
CCR,CCR,2016-05-13 09:42:00,2.801,19.5803,1.9408,1.1879,78.535093,9.64709,105.25493
CCR,CCR,2016-05-13 09:42:00,2.818,19.577,1.9307,1.2515,78.61301,9.64151,105.18719
CCR,CCR,2016-05-13 09:42:00,2.837,19.5735,1.9223,1.3042,78.709159,9.63169,105.07277
CCR,CCR,2016-05-13 09:42:00,2.862,19.5696,1.9181,1.3303,78.84516,9.62829,105.02746
CCR,CCR,2016-05-13 09:42:00,2.877,19.5657,1.9166,1.3424,79.001031,9.62304,104.96203
CCR,CCR,2016-05-13 09:42:00,2.885,19.5621,1.9175,1.3494,79.121912,9.62258,104.94956
CCR,CCR,2016-05-13 09:42:00,2.896,19.5587,1.9208,1.3511,79.193832,9.62496,104.96839
CCR,CCR,2016-05-13 09:42:00,2.911,19.5553,1.9262,1.3466,79.215879,9.63604,105.08209
CCR,CCR,2016-05-13 09:42:00,2.923,19.5515,1.9361,1.3393,79.185898,9.64325,105.15267
CCR,CCR,2016-05-13 09:42:00,2.935,19.5474,1.9557,1.332,79.146116,9.65313,105.25174
CCR,CCR,2016-05-13 09:42:00,2.95,19.5433,1.9817,1.3271,79.146191,9.66343,105.35546
CCR,CCR,2016-05-13 09:42:00,2.959,19.5396,2.0025,1.3314,79.190162,9.67919,105.51942
CCR,CCR,2016-05-13 09:42:00,2.972,19.5365,2.0155,1.3449,79.245557,9.69357,105.66964
CCR,CCR,2016-05-13 09:42:00,2.993,19.5336,2.0242,1.3575,79.28496,9.70465,105.78438
CCR,CCR,2016-05-13 09:42:00,3.012,19.5306,2.0315,1.368,79.298791,9.70897,105.82507
CCR,CCR,2016-05-13 09:42:00,3.024,19.5273,2.041,1.3849,79.304799,9.70878,105.81598
CCR,CCR,2016-05-13 09:42:00,3.038,19.524,2.055,1.4116,79.340747,9.70607,105.7795
CCR,CCR,2016-05-13 09:42:00,3.062,19.5211,2.0747,1.4517,79.414211,9.70419,105.75287
CCR,CCR,2016-05-13 09:42:00,3.092,19.5188,2.0978,1.4952,79.508621,9.70199,105.72406
CCR,CCR,2016-05-13 09:42:00,3.119,19.5171,2.1149,1.515,79.606966,9.69585,105.65359
CCR,CCR,2016-05-13 09:42:00,3.141,19.5154,2.1206,1.5049,79.665156,9.69254,105.61396
CCR,CCR,2016-05-13 09:42:00,3.154,19.5133,2.1165,1.4759,79.664554,9.68803,105.5604
CCR,CCR,2016-05-13 09:42:00,3.16,19.5104,2.1065,1.4408,79.663262,9.69141,105.59105
CCR,CCR,2016-05-13 09:42:00,3.168,19.5067,2.0962,1.4143,79.701114,9.68834,105.54981
CCR,CCR,2016-05-13 09:42:00,3.177,19.5024,2.0874,1.4066,79.741997,9.68721,105.52845
CCR,CCR,2016-05-13 09:42:00,3.186,19.4979,2.079,1.4189,79.736543,9.69238,105.57529
CCR,CCR,2016-05-13 09:42:00,3.202,19.4932,2.0691,1.4501,79.687316,9.69353,105.57777
CCR,CCR,2016-05-13 09:42:00,3.217,19.4881,2.0579,1.4981,79.625387,9.69082,105.53755
CCR,CCR,2016-05-13 09:42:00,3.228,19.4824,2.0503,1.546,79.560358,9.69382,105.55807
CCR,CCR,2016-05-13 09:42:00,3.237,19.4763,2.0499,1.5802,79.517075,9.69681,105.57773
CCR,CCR,2016-05-13 09:42:00,3.246,19.4698,2.057,1.6018,79.520156,9.69962,105.59462
CCR,CCR,2016-05-13 09:42:00,3.257,19.4635,2.0679,1.6155,79.516182,9.6971,105.55384
CCR,CCR,2016-05-13 09:42:00,3.271,19.4571,2.0769,1.6249,79.459895,9.69172,105.48173
CCR,CCR,2016-05-13 09:42:00,3.287,19.4508,2.0837,1.6268,79.382492,9.69265,105.47846
CCR,CCR,2016-05-13 09:42:00,3.299,19.445,2.0887,1.6218,79.315563,9.69402,105.48117
CCR,CCR,2016-05-13 09:42:00,3.311,19.4394,2.0918,1.6186,79.279431,9.6903,105.42875
CCR,CCR,2016-05-13 09:42:00,3.326,19.4333,2.0948,1.6189,79.294592,9.67872,105.28998
CCR,CCR,2016-05-13 09:42:00,3.337,19.4266,2.0968,1.6169,79.332948,9.67061,105.18756
CCR,CCR,2016-05-13 09:42:00,3.351,19.4194,2.0972,1.6133,79.312314,9.66689,105.13197
CCR,CCR,2016-05-13 09:42:00,3.365,19.4115,2.097,1.6082,79.211115,9.64951,104.92632
CCR,CCR,2016-05-13 09:42:00,3.379,19.4026,2.0944,1.5935,79.096785,9.64138,104.81917
CCR,CCR,2016-05-13 09:42:00,3.394,19.3928,2.0885,1.5686,79.009148,9.64023,104.78598
CCR,CCR,2016-05-13 09:42:00,3.409,19.3829,2.0804,1.5372,78.960995,9.63708,104.73095
CCR,CCR,2016-05-13 09:42:00,3.422,19.3738,2.0694,1.491,78.961582,9.63941,104.73707
CCR,CCR,2016-05-13 09:42:00,3.436,19.366,2.0573,1.437,78.964861,9.64267,104.75617
CCR,CCR,2016-05-13 09:42:00,3.454,19.3591,2.0502,1.3986,78.921481,9.64892,104.8095
CCR,CCR,2016-05-13 09:42:00,3.473,19.352,2.0506,1.377,78.839965,9.66187,104.93518
CCR,CCR,2016-05-13 09:42:00,3.491,19.3446,2.0566,1.3608,78.754823,9.65941,104.89292
