Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,infTPloads_g,Notes
FCR,2013,2013-07-15 12:00:00,6.2,,17.03,,,,,,,,,,,,
FCR,2013,2013-07-15 12:00:00,8,,21.12,,,,,,,,,,,,
FCR,2013,2013-07-19 12:00:00,0.1,,43,5.3,19.1,22.7,,,,,,,,,
FCR,2013,2013-07-19 12:00:00,0.8,,48,4.5,11.2,9.7,,,,,,,,,
FCR,2013,2013-07-19 12:00:00,1.6,,60.5,4,7.2,44.3,,,,,,,,,
FCR,2013,2013-07-19 12:00:00,2.8,,35.5,3,6.1,7.5,,,,,,,,,
FCR,2013,2013-07-19 12:00:00,3.8,,42.17,4.8,48.5,55.5,,,,,,,,,
FCR,2013,2013-07-19 12:00:00,5,,44.77,3.5,81.5,37.9,,,,,,,,,
FCR,2013,2013-07-19 12:00:00,6.2,,76.63,8,47.9,45.1,,,,,,,,,
FCR,2013,2013-07-19 12:00:00,8,,51.31,4,135.2,77.3,,,,,,,,,
FCR,2013,2013-07-22 12:00:00,0.1,,32.52,,,,,,,,,,,,
FCR,2013,2013-07-22 12:00:00,0.8,,37.42,,,,,,,,,,,,
FCR,2013,2013-07-22 12:00:00,1.6,,55.39,,,,,,,,,,,,
FCR,2013,2013-07-22 12:00:00,2.8,,89.71,,,,,,,,,,,,
FCR,2013,2013-07-22 12:00:00,3.8,,41.5,,,,,,,,,,,,
FCR,2013,2013-07-22 12:00:00,5,,25.98,,,,,,,,,,,,
FCR,2013,2013-07-22 12:00:00,6.2,,51.31,,,,,,,,,,,,
FCR,2013,2013-07-22 12:00:00,8,,38.24,,,,,,,,,,,,
FCR,2013,2013-07-25 12:00:00,0.1,,36.18,5.8,11.5,9.1,,,,,,,,,
FCR,2013,2013-07-25 12:00:00,0.8,,70.67,6.2,5.7,5,,,,,,,,,
FCR,2013,2013-07-25 12:00:00,1.6,,62.45,6.1,4.2,6.9,,,,,,,,,
FCR,2013,2013-07-25 12:00:00,2.8,,23.04,2.4,15.1,11.5,,,,,,,,,
FCR,2013,2013-07-25 12:00:00,3.8,,45.21,5.2,91.7,15.8,,,,,,,,,
FCR,2013,2013-07-25 12:00:00,5,,62.58,15.8,18.9,20.4,,,,,,,,,
FCR,2013,2013-07-25 12:00:00,6.2,,32.58,2.8,155.9,19.9,,,,,,,,,
FCR,2013,2013-07-25 12:00:00,8,,98.03,9.8,30.1,15.1,,,,,,,,,
FCR,2013,2013-07-29 12:00:00,0.1,,23.86,3,2.9,5.9,,,,,,,,,
FCR,2013,2013-07-29 12:00:00,0.8,,36.18,3.2,7.3,3.9,,,,,,,,,
FCR,2013,2013-07-29 12:00:00,1.6,,76.41,3.6,2.9,4.1,,,,,,,,,
FCR,2013,2013-07-29 12:00:00,2.8,,52.6,3.9,3,3.8,,,,,,,,,
FCR,2013,2013-07-29 12:00:00,3.8,,38.64,3.9,6.6,6.5,,,,,,,,,
FCR,2013,2013-07-29 12:00:00,5,,35.36,0,14.3,6.4,,,,,,,,,
FCR,2013,2013-07-29 12:00:00,6.2,,40.28,2.7,53.7,13.6,,,,,,,,,
FCR,2013,2013-07-29 12:00:00,8,,22.22,3.6,157.6,26.4,,,,,,,,,
FCR,2013,2013-08-01 12:00:00,0.1,,51.02,3.5,5.3,4.4,,,,,,,,,
FCR,2013,2013-08-01 12:00:00,0.8,,51.02,4,59.9,0,,,,,,,,,
FCR,2013,2013-08-01 12:00:00,1.6,,51.85,3.5,6.8,3.8,,,,,,,,,
FCR,2013,2013-08-01 12:00:00,2.8,,68.47,3.4,3.7,4.6,,,,,,,,,
FCR,2013,2013-08-01 12:00:00,3.8,,38.56,4.5,255.4,13.9,,,,,,,,,
FCR,2013,2013-08-01 12:00:00,5,,40.22,3.4,106.8,15.6,,,,,,,,,
FCR,2013,2013-08-01 12:00:00,6.2,,68.47,2.6,496.1,8.7,,,,,,,,,
FCR,2013,2013-08-01 12:00:00,8,,53.51,3.9,918.7,11.4,,,,,,,,,
FCR,2013,2013-08-05 12:00:00,0.1,,43.45,4,2.2,3.6,,,,,,,,,
FCR,2013,2013-08-05 12:00:00,0.8,,48.16,3.2,4.1,4.9,,,,,,,,,
FCR,2013,2013-08-05 12:00:00,1.6,,45.8,3.4,12,6.2,,,,,,,,,
FCR,2013,2013-08-05 12:00:00,2.8,,23.01,4,3.9,4.5,,,,,,,,,
FCR,2013,2013-08-05 12:00:00,3.8,,18.29,2.6,1.9,4.5,,,,,,,,,
FCR,2013,2013-08-05 12:00:00,5,,27.73,3.7,81.3,10,,,,,,,,,
FCR,2013,2013-08-05 12:00:00,6.2,,13.58,2.5,95.3,9.7,,,,,,,,,
FCR,2013,2013-08-05 12:00:00,8,,43.45,2.5,95.3,8.8,,,,,,,,,
FCR,2013,2013-08-08 12:00:00,0.1,,43.72,4.3,16.9,9.7,,,,,,,,,
FCR,2013,2013-08-08 12:00:00,0.8,,25.71,3.9,9.9,5.2,,,,,,,,,
FCR,2013,2013-08-08 12:00:00,1.6,,24.07,3.8,5.6,4.8,,,,,,,,,
FCR,2013,2013-08-08 12:00:00,2.8,,25.71,3.6,4.1,2.5,,,,,,,,,
FCR,2013,2013-08-08 12:00:00,3.8,,56.82,3.9,100,9.5,,,,,,,,,
FCR,2013,2013-08-08 12:00:00,5,,34.71,3.2,113,10,,,,,,,,,
FCR,2013,2013-08-08 12:00:00,6.2,,36.35,3.2,73.1,9,,,,,,,,,
FCR,2013,2013-08-08 12:00:00,8,,26.52,3.7,105,8.3,,,,,,,,,
FCR,2013,2013-08-12 12:00:00,0.1,,23.49,3.4,7.4,4.5,,,,,,,,,
FCR,2013,2013-08-12 12:00:00,0.8,,20.73,4.2,2.8,2.4,,,,,,,,,
FCR,2013,2013-08-12 12:00:00,1.6,,22.11,4.7,3.1,1.5,,,,,,,,,
FCR,2013,2013-08-12 12:00:00,2.8,,22.8,4,3.4,1.1,,,,,,,,,
FCR,2013,2013-08-12 12:00:00,3.8,,22.11,3.3,3.7,5,,,,,,,,,
FCR,2013,2013-08-12 12:00:00,5,,15.91,2.9,73.8,5.6,,,,,,,,,
FCR,2013,2013-08-12 12:00:00,6.2,,13.84,3.9,121,8,,,,,,,,,
FCR,2013,2013-08-12 12:00:00,8,,15.91,2.9,129,10.4,,,,,,,,,
FCR,2013,2013-08-15 12:00:00,0.1,,37.61,4.2,7.3,1.7,,,,,,,,,
FCR,2013,2013-08-15 12:00:00,0.8,,31.61,4.6,4.4,2.3,,,,,,,,,
FCR,2013,2013-08-15 12:00:00,1.6,,27.33,3.6,4.3,2.5,,,,,,,,,
FCR,2013,2013-08-15 12:00:00,2.8,,40.18,3.8,7.5,1.7,,,,,,,,,
FCR,2013,2013-08-15 12:00:00,3.8,,26.47,3.3,98.3,7,,,,,,,,,
FCR,2013,2013-08-15 12:00:00,5,,28.18,3.8,113,6.2,,,,,,,,,
FCR,2013,2013-08-15 12:00:00,6.2,,17.9,3.8,153,8.3,,,,,,,,,
FCR,2013,2013-08-15 12:00:00,8,,19.62,0.6,157,7.8,,,,,,,,,
FCR,2013,2013-08-21 12:00:00,0.1,,23.73,4.1,8,4.7,,,,,,,,,
FCR,2013,2013-08-21 12:00:00,0.8,,21.91,4.3,8.7,5.3,,,,,,,,,
FCR,2013,2013-08-21 12:00:00,1.6,,26.45,4.5,9.6,2.4,,,,,,,,,
FCR,2013,2013-08-21 12:00:00,2.8,,32.82,5.8,21.4,5.8,,,,,,,,,
FCR,2013,2013-08-21 12:00:00,3.8,,27.36,3.9,19.3,4.5,,,,,,,,,
FCR,2013,2013-08-21 12:00:00,5,,30.09,3.6,103,6.2,,,,,,,,,
FCR,2013,2013-08-21 12:00:00,6.2,,13.73,5.1,153,16.2,,,,,,,,,
FCR,2013,2013-08-21 12:00:00,8,,30.09,4,163,11,,,,,,,,,
FCR,2013,2013-08-28 12:00:00,0.8,,20.97,5.4,11.9,4.2,,,,,,,,,
FCR,2013,2013-08-28 12:00:00,1.6,,,3.9,14.9,6.6,,,,,,,,,
FCR,2013,2013-08-28 12:00:00,2.8,,33.58,4.2,6.7,3.5,,,,,,,,,
FCR,2013,2013-08-28 12:00:00,5,,19.17,3.6,172,10.1,,,,,,,,,
FCR,2013,2013-08-28 12:00:00,6.2,,,4.4,238,13.3,,,,,,,,,
FCR,2013,2013-08-28 12:00:00,8,,21.87,0.9,201,10.5,,,,,,,,,
FCR,2013,2013-09-04 12:00:00,0.8,,38.08,3.7,7.7,3.7,,,,,,,,,
FCR,2013,2013-09-04 12:00:00,2.8,,45.28,3.8,5,2.5,,,,,,,,,
FCR,2013,2013-09-04 12:00:00,5,,22.77,3.9,144,9.3,,,,,,,,,
FCR,2013,2013-09-04 12:00:00,8,,18.27,4.4,208,15.7,,,,,,,,,
FCR,2013,2013-09-05 12:00:00,0.1,,,4.5,16.1,4.8,,,,,,,,,
FCR,2013,2013-09-05 12:00:00,1.6,,,4.2,15.4,4.3,,,,,,,,,
FCR,2013,2013-09-05 12:00:00,3.8,,,4.1,242,11.3,,,,,,,,,
FCR,2013,2013-09-05 12:00:00,6.2,,,3.2,234,12.4,,,,,,,,,
FCR,2013,2013-09-11 12:00:00,0.1,,24.75,0.6,5.1,2.9,,,,,,,,,
FCR,2013,2013-09-11 12:00:00,0.8,,59.72,4,5.5,4.8,,,,,,,,,
FCR,2013,2013-09-11 12:00:00,1.6,,45.37,3.5,4.6,2.2,,,,,,,,,
FCR,2013,2013-09-11 12:00:00,2.8,,25.64,3.8,5.6,2.2,,,,,,,,,
FCR,2013,2013-09-11 12:00:00,3.8,,55.24,3.9,4.1,4.1,,,,,,,,,
FCR,2013,2013-09-11 12:00:00,5,,28.33,4.3,111,13.2,,,,,,,,,
FCR,2013,2013-09-11 12:00:00,6.2,,39.99,3.3,209,16.4,,,,,,,,,
FCR,2013,2013-09-11 12:00:00,8,,39.99,3.5,202,15.1,,,,,,,,,
FCR,2013,2013-09-18 12:00:00,0.1,,16.15,3.7,5.7,5.7,,,,,,,,,
FCR,2013,2013-09-18 12:00:00,0.8,,16.15,3.3,7.2,2.3,,,,,,,,,
