Reservoir,Year,Date,Depth,pH,PAR
BVR,2015,2015-06-25 12:00:00,5,6,36.4
BVR,2015,2015-06-25 12:00:00,6,5.91,17.4
BVR,2015,2015-06-25 12:00:00,7,5.87,7.8
BVR,2015,2015-06-25 12:00:00,8,5.9,0.6
BVR,2015,2015-06-25 12:00:00,9,6.06,0.0057
BVR,2015,2015-06-25 12:00:00,10,6.18,0.003
BVR,2015,2015-06-25 12:00:00,11,6.23,0
BVR,2015,2015-07-02 12:00:00,-0.1,,
BVR,2015,2015-07-02 12:00:00,0.1,6.93,
BVR,2015,2015-07-02 12:00:00,1,7.02,
BVR,2015,2015-07-02 12:00:00,2,7.03,
BVR,2015,2015-07-02 12:00:00,3,7.06,
BVR,2015,2015-07-02 12:00:00,4,6.84,
BVR,2015,2015-07-02 12:00:00,5,6.48,
BVR,2015,2015-07-02 12:00:00,6,6.08,
BVR,2015,2015-07-02 12:00:00,7,5.81,
BVR,2015,2015-07-02 12:00:00,8,5.84,
BVR,2015,2015-07-02 12:00:00,9,5.83,
BVR,2015,2015-07-02 12:00:00,10,6.04,
BVR,2015,2015-07-02 12:00:00,11,6.1,
BVR,2015,2015-07-09 12:00:00,-0.1,,1800
BVR,2015,2015-07-09 12:00:00,0.1,7.3,1300
BVR,2015,2015-07-09 12:00:00,1,7.23,450
BVR,2015,2015-07-09 12:00:00,2,7.19,200
BVR,2015,2015-07-09 12:00:00,3,7.06,100
BVR,2015,2015-07-09 12:00:00,4,6.74,55
BVR,2015,2015-07-09 12:00:00,5,6.31,27
BVR,2015,2015-07-09 12:00:00,6,6.07,12.9
BVR,2015,2015-07-09 12:00:00,7,5.95,2.9
BVR,2015,2015-07-09 12:00:00,8,5.95,0.57
BVR,2015,2015-07-09 12:00:00,9,5.94,0.307
BVR,2015,2015-07-09 12:00:00,10,5.95,0.262
BVR,2015,2015-07-09 12:00:00,11,6.08,0.2568
BVR,2015,2015-07-30 12:00:00,-0.1,,77.25
BVR,2015,2015-07-30 12:00:00,0.1,7.18,1136
BVR,2015,2015-07-30 12:00:00,1,7.29,671.5
BVR,2015,2015-07-30 12:00:00,2,7.27,284.7
BVR,2015,2015-07-30 12:00:00,3,7.32,137.9
BVR,2015,2015-07-30 12:00:00,4,7.33,60.01
BVR,2015,2015-07-30 12:00:00,5,6.56,19.91
BVR,2015,2015-07-30 12:00:00,6,6.37,4.073
BVR,2015,2015-07-30 12:00:00,7,6.24,0.7483
BVR,2015,2015-07-30 12:00:00,8,6.06,0.1854
BVR,2015,2015-07-30 12:00:00,9,6.05,0.01871
BVR,2015,2015-07-30 12:00:00,10,6.2,0.01502
BVR,2015,2015-07-30 12:00:00,11,6.26,0.01701
BVR,2015,2015-08-13 12:00:00,-0.1,,536
BVR,2015,2015-08-13 12:00:00,0.1,7.53,320
BVR,2015,2015-08-13 12:00:00,1,7.26,97.6
BVR,2015,2015-08-13 12:00:00,2,7.28,59.2
BVR,2015,2015-08-13 12:00:00,3,7.23,31.41
BVR,2015,2015-08-13 12:00:00,4,6.95,17.5
BVR,2015,2015-08-13 12:00:00,5,6.58,10.1
BVR,2015,2015-08-13 12:00:00,6,6.41,1.69
BVR,2015,2015-08-13 12:00:00,7,6.42,0.28
BVR,2015,2015-08-13 12:00:00,8,6.28,0.086
BVR,2015,2015-08-13 12:00:00,9,6.16,0.015
BVR,2015,2015-08-13 12:00:00,10,6.24,0.0034
BVR,2015,2015-08-13 12:00:00,11,6.42,0
BVR,2015,2015-08-20 12:00:00,-0.1,,
BVR,2015,2015-08-20 12:00:00,0.1,6.95,71.51
BVR,2015,2015-08-20 12:00:00,1,7.22,823.7
BVR,2015,2015-08-20 12:00:00,2,7.38,402.6
BVR,2015,2015-08-20 12:00:00,3,7.36,218.1
BVR,2015,2015-08-20 12:00:00,4,7.23,88.4
BVR,2015,2015-08-20 12:00:00,5,6.55,54.7
BVR,2015,2015-08-20 12:00:00,6,6.3,25.54
BVR,2015,2015-08-20 12:00:00,7,6.22,8.41
BVR,2015,2015-08-20 12:00:00,8,6.01,1.75
BVR,2015,2015-08-20 12:00:00,9,5.9,0.2806
BVR,2015,2015-08-20 12:00:00,10,6.14,0.0541
BVR,2015,2015-08-20 12:00:00,11,6.31,0.0068
BVR,2015,2015-09-04 12:00:00,-0.1,,-0.0017
BVR,2015,2015-09-04 12:00:00,0.1,7.37,
BVR,2015,2015-09-04 12:00:00,1,7.3,
BVR,2015,2015-09-04 12:00:00,2,7.31,
BVR,2015,2015-09-04 12:00:00,3,7.2,
BVR,2015,2015-09-04 12:00:00,4,6.63,
BVR,2015,2015-09-04 12:00:00,5,5.86,
BVR,2015,2015-09-04 12:00:00,6,5.77,
BVR,2015,2015-09-04 12:00:00,7,5.94,
BVR,2015,2015-09-04 12:00:00,8,5.96,
BVR,2015,2015-09-04 12:00:00,9,6.08,
BVR,2015,2015-09-04 12:00:00,10,6,
BVR,2015,2015-09-04 12:00:00,11,6.47,
BVR,2015,2015-09-04 12:00:00,12,6.62,
BVR,2015,2015-09-18 12:00:00,-0.1,,40
BVR,2015,2015-09-18 12:00:00,0.1,,65
BVR,2015,2015-09-18 12:00:00,1,,35
BVR,2015,2015-09-18 12:00:00,2,,36
BVR,2015,2015-09-18 12:00:00,3,,44
BVR,2015,2015-09-18 12:00:00,4,,72
BVR,2015,2015-09-18 12:00:00,5,,42
BVR,2015,2015-09-18 12:00:00,6,,16.4
BVR,2015,2015-09-18 12:00:00,7,,5.9
BVR,2015,2015-09-18 12:00:00,8,,1.6
BVR,2015,2015-09-18 12:00:00,9,,0.385
BVR,2015,2015-09-18 12:00:00,10,,0.093
BVR,2015,2015-09-18 12:00:00,11,,0.012
BVR,2015,2015-10-23 12:00:00,-0.1,,1027
BVR,2015,2015-10-23 12:00:00,0.1,6.93,78.12
BVR,2015,2015-10-23 12:00:00,1,6.82,54.7
BVR,2015,2015-10-23 12:00:00,2,6.7,208.1
BVR,2015,2015-10-23 12:00:00,3,6.66,119.6
BVR,2015,2015-10-23 12:00:00,4,6.65,56.74
BVR,2015,2015-10-23 12:00:00,5,6.61,24.13
BVR,2015,2015-10-23 12:00:00,6,6.52,9.519
BVR,2015,2015-10-23 12:00:00,7,6.44,4.347
BVR,2015,2015-10-23 12:00:00,8,6.3,0.6718
BVR,2015,2015-10-23 12:00:00,9,6.23,0.1752
BVR,2015,2015-10-23 12:00:00,10,6.37,0.05102
BVR,2015,2015-10-23 12:00:00,11,6.62,0.02251
