Reservoir,Site,Year,Date,Depth,PAR,YSI_TEMP_C,YSI_DO_mgL,YSI_PSAT,pH,YSI_COND_uScm,ORP,Notes
BVR,50,2017,2017-10-17 12:00:00,0.1,,18.8,8.31,95.5,,,,
BVR,50,2017,2017-10-17 12:00:00,1,,18.3,8.34,94.8,,,,
BVR,50,2017,2017-10-17 12:00:00,2,,18.1,8.33,94.1,,,,
BVR,50,2017,2017-10-17 12:00:00,3,,17.9,8.31,93.5,,,,
BVR,50,2017,2017-10-17 12:00:00,4,,18.8,8.16,91.9,,,,
BVR,50,2017,2017-10-17 12:00:00,5,,17.7,7.22,81,,,,
BVR,50,2017,2017-10-17 12:00:00,6,,16.2,1.11,12,,,,
BVR,50,2017,2017-10-17 12:00:00,7,,13.5,0.4,4.1,,,,
BVR,50,2017,2017-10-17 12:00:00,8,,10.6,0.33,3.2,,,,
BVR,50,2017,2017-10-17 12:00:00,9,,9.1,0.3,2.8,,,,
BVR,50,2017,2017-10-17 12:00:00,10,,8.2,0.28,2.5,,,,
BVR,50,2017,2017-10-17 12:00:00,11,,7.8,0.27,2.4,,,,
BVR,50,2017,2017-10-17 12:00:00,12,,7.6,0.27,2.4,,,,
BVR,50,2017,2017-10-17 12:00:00,13,,7.4,0.26,2.3,,,,
BVR,50,2017,2017-10-17 12:00:00,13.5,,7.3,0.25,2.3,,,,
BVR,50,2014,2018-05-15 12:00:00,0,,,,,7.98,,,
BVR,50,2014,2018-05-15 12:00:00,2,,,,,7.91,,,
BVR,50,2014,2018-05-15 12:00:00,4,,,,,7.76,,,
BVR,50,2014,2018-05-15 12:00:00,8,,,,,6.78,,,
BVR,50,2014,2018-05-15 12:00:00,12,,,,,6.26,,,
BVR,50,2019,2019-06-05 12:00:00,0.1,,22.2,7.44,90.9,6.96,29.1,,
BVR,50,2019,2019-06-05 12:00:00,1,,22.3,7.74,95.1,7.08,27.8,,
BVR,50,2019,2019-06-05 12:00:00,2,,22.3,7.39,90.4,7.17,27.8,,
BVR,50,2019,2019-06-05 12:00:00,3,,22.3,7.05,86.6,7.18,27.8,,
BVR,50,2019,2019-06-05 12:00:00,4,,20.4,8.27,96.9,7.13,28.4,,
BVR,50,2019,2019-06-05 12:00:00,5,,16,7.5,81.4,6.89,28.5,,
BVR,50,2019,2019-06-05 12:00:00,6,,13.4,6.16,63.7,6.72,27.9,,
BVR,50,2019,2019-06-05 12:00:00,7,,11.7,4.43,43.2,6.42,28.7,,
BVR,50,2019,2019-06-05 12:00:00,8,,10,2.66,25.3,6.07,29.1,,
BVR,50,2019,2019-06-05 12:00:00,9,,9,1.58,14.6,5.93,30.4,,
BVR,50,2019,2019-06-05 12:00:00,10,,8.1,1.42,12.9,5.93,46.2,,
BVR,50,2019,2019-06-05 12:00:00,11,,7.8,1.31,11.7,6.08,61.9,,
BVR,50,2019,2019-06-05 12:00:00,12,,7.6,1.31,11.7,6.21,70.9,,
BVR,50,2019,2019-06-12 12:00:00,0.1,,24.6,6.83,88.7,7.2,28.2,,
BVR,50,2019,2019-06-12 12:00:00,1,,24.5,6.8,87,7.13,28.2,,
BVR,50,2019,2019-06-12 12:00:00,2,,24.4,6.36,81.2,7.13,28.2,,
BVR,50,2019,2019-06-12 12:00:00,3,,24,6,76.3,7.02,28.3,,
BVR,50,2019,2019-06-12 12:00:00,4,,20.4,5.88,69.5,6.7,29.8,,
BVR,50,2019,2019-06-12 12:00:00,5,,17.6,5.75,64.3,6.1,29.5,,
BVR,50,2019,2019-06-12 12:00:00,6,,13.6,4.44,46.7,5.87,29.6,,
BVR,50,2019,2019-06-12 12:00:00,7,,11.9,3.37,33.3,5.76,29.8,,
BVR,50,2019,2019-06-12 12:00:00,8,,10.4,2,19.1,5.68,30.4,,
BVR,50,2019,2019-06-12 12:00:00,9,,9.6,1.55,14.5,5.65,30.3,,
BVR,50,2019,2019-06-12 12:00:00,10,,8.5,1.27,11.6,5.69,47.2,,
BVR,50,2019,2019-06-12 12:00:00,11,,7.9,1.21,10.8,5.85,66.4,,
BVR,50,2019,2019-06-26 12:00:00,0.1,,27.8,6.13,83.8,7.15,29.2,,
BVR,50,2019,2019-06-26 12:00:00,1,,27.6,6.27,84.8,7.13,29.2,,
BVR,50,2019,2019-06-26 12:00:00,2,,26.5,6.65,87.6,7.08,29.6,,
BVR,50,2019,2019-06-26 12:00:00,3,,23,6.7,83.1,6.81,30.7,,
BVR,50,2019,2019-06-26 12:00:00,4,,18.6,4.9,55.9,6.41,30.6,,
BVR,50,2019,2019-06-26 12:00:00,5,,15.2,4.03,42.9,6,31,,
BVR,50,2019,2019-06-26 12:00:00,6,,12.3,2.97,29.6,5.91,32,,
BVR,50,2019,2019-06-26 12:00:00,7,,10.2,1.9,18.1,5.87,32,,
BVR,50,2019,2019-06-26 12:00:00,8,,8.9,1.39,12.8,5.9,45.4,,
BVR,50,2019,2019-06-26 12:00:00,9,,8.2,1.31,12,6.06,71.3,,
BVR,50,2019,2019-06-26 12:00:00,10,,8,1.33,11.9,6.18,83.8,,
BVR,50,2019,2019-06-26 12:00:00,11,,7.7,1.34,12,6.23,100.5,,
BVR,50,2019,2019-06-26 12:00:00,11.5,,7.7,1.34,12,6.29,106.7,,
BVR,50,2015,2019-07-17 12:00:00,-0.1,858,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,0.1,184,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,1,99.73,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,2,31.01,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,3,15.09,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,4,6.169,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,5,2.209,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,6,0.896,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,7,0.165,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,8,0.0357,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,9,0.0085,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,10,0,,,,,,,
BVR,50,2015,2019-07-17 12:00:00,11,0,,,,,,,
BVR,50,2019,2019-07-31 12:00:00,0.1,,27.7,5.25,70.5,7.18,29.7,,
BVR,50,2019,2019-07-31 12:00:00,1,,27.7,6.06,82.5,7.29,29.7,,
BVR,50,2019,2019-07-31 12:00:00,2,,27.7,6.73,91.2,7.27,29.7,,
BVR,50,2019,2019-07-31 12:00:00,3,,27.6,6.79,92.3,7.32,29.7,,
