
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(in H2O),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.302"
Session Name,FCR_Inf2_15min2013,,Exported,"Aqua4Plus 1.9.501"
# Records,  7954 
Statistical Data,,Temperature(degC),Pressure(in H2O),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,14.50,384.97,
,Maximum,20.00,402.62,
,Mean,17.74,391.95,
,Variance,1.048,5.534,
,Std Deviation,1.024,2.353,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(in H2O)
61,14-Jun-13 05:00:00,15.88,388.53
62,14-Jun-13 05:15:00,15.81,388.56
63,14-Jun-13 05:30:00,15.75,388.72
64,14-Jun-13 05:45:00,15.75,388.70
65,14-Jun-13 06:00:00,15.75,388.61
66,14-Jun-13 06:15:00,15.75,388.67
67,14-Jun-13 06:30:00,15.69,388.81
68,14-Jun-13 06:45:00,15.63,388.95
69,14-Jun-13 07:00:00,15.63,388.97
70,14-Jun-13 07:15:00,15.63,389.09
71,14-Jun-13 07:30:00,15.56,389.14
72,14-Jun-13 07:45:00,15.56,389.11
73,14-Jun-13 08:00:00,15.56,389.28
74,14-Jun-13 08:15:00,15.56,389.37
75,14-Jun-13 08:30:00,15.63,389.51
76,14-Jun-13 08:45:00,15.63,389.59
77,14-Jun-13 09:00:00,15.63,389.65
78,14-Jun-13 09:15:00,15.63,389.76
79,14-Jun-13 09:30:00,15.69,389.84
80,14-Jun-13 09:45:00,15.75,389.95
81,14-Jun-13 10:00:00,15.81,390.01
82,14-Jun-13 10:15:00,15.88,389.95
83,14-Jun-13 10:30:00,15.94,390.09
84,14-Jun-13 10:45:00,16.00,390.09
85,14-Jun-13 11:00:00,16.06,390.12
86,14-Jun-13 11:15:00,16.13,390.12
87,14-Jun-13 11:30:00,16.19,390.26
88,14-Jun-13 11:45:00,16.19,390.20
89,14-Jun-13 12:00:00,16.25,390.23
90,14-Jun-13 12:15:00,16.31,390.28
91,14-Jun-13 12:30:00,16.31,390.28
92,14-Jun-13 12:45:00,16.44,390.26
93,14-Jun-13 13:00:00,16.50,390.28
94,14-Jun-13 13:15:00,16.50,390.31
95,14-Jun-13 13:30:00,16.63,390.28
96,14-Jun-13 13:45:00,16.81,390.28
97,14-Jun-13 14:00:00,16.88,390.34
98,14-Jun-13 14:15:00,16.81,390.31
99,14-Jun-13 14:30:00,16.81,390.37
100,14-Jun-13 14:45:00,16.81,390.39
101,14-Jun-13 15:00:00,16.81,390.45
102,14-Jun-13 15:15:00,16.88,390.42
103,14-Jun-13 15:30:00,16.94,390.45
104,14-Jun-13 15:45:00,16.94,390.39
105,14-Jun-13 16:00:00,16.94,390.45
106,14-Jun-13 16:15:00,16.94,390.37
107,14-Jun-13 16:30:00,16.94,390.39
108,14-Jun-13 16:45:00,17.00,390.34
109,14-Jun-13 17:00:00,16.94,390.34
110,14-Jun-13 17:15:00,17.00,390.39
111,14-Jun-13 17:30:00,17.00,390.39
112,14-Jun-13 17:45:00,17.00,390.37
113,14-Jun-13 18:00:00,16.94,390.34
114,14-Jun-13 18:15:00,16.94,390.39
115,14-Jun-13 18:30:00,16.94,390.42
116,14-Jun-13 18:45:00,16.88,390.51
117,14-Jun-13 19:00:00,16.88,390.51
118,14-Jun-13 19:15:00,16.88,390.56
119,14-Jun-13 19:30:00,16.81,390.62
120,14-Jun-13 19:45:00,16.81,390.73
121,14-Jun-13 20:00:00,16.75,390.76
122,14-Jun-13 20:15:00,16.69,390.81
123,14-Jun-13 20:30:00,16.69,390.87
124,14-Jun-13 20:45:00,16.63,390.87
125,14-Jun-13 21:00:00,16.63,390.90
126,14-Jun-13 21:15:00,16.56,391.01
127,14-Jun-13 21:30:00,16.56,390.95
128,14-Jun-13 21:45:00,16.50,391.09
129,14-Jun-13 22:00:00,16.44,391.09
130,14-Jun-13 22:15:00,16.38,391.21
131,14-Jun-13 22:30:00,16.38,391.29
132,14-Jun-13 22:45:00,16.31,391.32
133,14-Jun-13 23:00:00,16.25,391.37
134,14-Jun-13 23:15:00,16.19,391.46
135,14-Jun-13 23:30:00,16.13,391.57
136,14-Jun-13 23:45:00,16.13,391.65
137,15-Jun-13 00:00:00,16.06,391.65
138,15-Jun-13 00:15:00,16.00,391.71
139,15-Jun-13 00:30:00,16.00,391.79
140,15-Jun-13 00:45:00,15.94,391.82
141,15-Jun-13 01:00:00,15.94,391.88
142,15-Jun-13 01:15:00,15.88,391.88
143,15-Jun-13 01:30:00,15.81,391.88
144,15-Jun-13 01:45:00,15.75,391.93
145,15-Jun-13 02:00:00,15.69,391.93
146,15-Jun-13 02:15:00,15.69,391.85
147,15-Jun-13 02:30:00,15.63,391.85
148,15-Jun-13 02:45:00,15.63,391.80
149,15-Jun-13 03:00:00,15.63,391.77
150,15-Jun-13 03:15:00,15.56,391.80
151,15-Jun-13 03:30:00,15.56,391.68
152,15-Jun-13 03:45:00,15.50,391.66
153,15-Jun-13 04:00:00,15.50,391.63
154,15-Jun-13 04:15:00,15.44,391.68
155,15-Jun-13 04:30:00,15.38,391.71
156,15-Jun-13 04:45:00,15.38,391.82
157,15-Jun-13 05:00:00,15.31,391.82
158,15-Jun-13 05:15:00,15.25,391.99
159,15-Jun-13 05:30:00,15.19,392.10
160,15-Jun-13 05:45:00,15.19,392.13
161,15-Jun-13 06:00:00,15.13,392.24
162,15-Jun-13 06:15:00,15.13,392.30
163,15-Jun-13 06:30:00,15.13,392.38
164,15-Jun-13 06:45:00,15.13,392.30
165,15-Jun-13 07:00:00,15.06,392.36
166,15-Jun-13 07:15:00,15.06,392.38
167,15-Jun-13 07:30:00,15.06,392.36
168,15-Jun-13 07:45:00,15.13,392.36
169,15-Jun-13 08:00:00,15.13,392.44
170,15-Jun-13 08:15:00,15.13,392.50
171,15-Jun-13 08:30:00,15.19,392.50
172,15-Jun-13 08:45:00,15.25,392.61
173,15-Jun-13 09:00:00,15.31,392.66
174,15-Jun-13 09:15:00,15.31,392.86
175,15-Jun-13 09:30:00,15.38,392.83
176,15-Jun-13 09:45:00,15.44,392.77
177,15-Jun-13 10:00:00,15.50,392.72
178,15-Jun-13 10:15:00,15.63,392.63
179,15-Jun-13 10:30:00,15.69,392.63
180,15-Jun-13 10:45:00,15.81,392.63
181,15-Jun-13 11:00:00,15.88,392.55
182,15-Jun-13 11:15:00,16.00,392.55
183,15-Jun-13 11:30:00,16.13,392.52
184,15-Jun-13 11:45:00,16.19,392.55
185,15-Jun-13 12:00:00,16.25,392.55
186,15-Jun-13 12:15:00,16.31,392.49
187,15-Jun-13 12:30:00,16.50,392.38
188,15-Jun-13 12:45:00,16.63,392.32
189,15-Jun-13 13:00:00,16.75,392.29
190,15-Jun-13 13:15:00,16.81,392.18
191,15-Jun-13 13:30:00,17.00,392.24
192,15-Jun-13 13:45:00,17.13,392.21
193,15-Jun-13 14:00:00,17.19,392.24
194,15-Jun-13 14:15:00,17.38,392.18
195,15-Jun-13 14:30:00,17.50,392.12
196,15-Jun-13 14:45:00,17.56,391.98
197,15-Jun-13 15:00:00,17.63,391.98
198,15-Jun-13 15:15:00,17.69,391.87
199,15-Jun-13 15:30:00,17.69,391.93
200,15-Jun-13 15:45:00,17.69,391.82
201,15-Jun-13 16:00:00,17.69,391.73
202,15-Jun-13 16:15:00,17.69,391.73
203,15-Jun-13 16:30:00,17.69,391.68
204,15-Jun-13 16:45:00,17.69,391.70
205,15-Jun-13 17:00:00,17.69,391.68
206,15-Jun-13 17:15:00,17.63,391.70
207,15-Jun-13 17:30:00,17.63,391.65
208,15-Jun-13 17:45:00,17.56,391.62
209,15-Jun-13 18:00:00,17.56,391.54
210,15-Jun-13 18:15:00,17.50,391.45
211,15-Jun-13 18:30:00,17.50,391.54
212,15-Jun-13 18:45:00,17.44,391.57
213,15-Jun-13 19:00:00,17.44,391.59
214,15-Jun-13 19:15:00,17.44,391.59
215,15-Jun-13 19:30:00,17.38,391.65
216,15-Jun-13 19:45:00,17.31,391.68
217,15-Jun-13 20:00:00,17.25,391.68
218,15-Jun-13 20:15:00,17.25,391.65
219,15-Jun-13 20:30:00,17.19,391.65
220,15-Jun-13 20:45:00,17.13,391.68
221,15-Jun-13 21:00:00,17.06,391.71
222,15-Jun-13 21:15:00,17.00,391.71
223,15-Jun-13 21:30:00,16.94,391.73
224,15-Jun-13 21:45:00,16.88,391.74
225,15-Jun-13 22:00:00,16.81,391.79
226,15-Jun-13 22:15:00,16.75,391.79
227,15-Jun-13 22:30:00,16.69,391.88
228,15-Jun-13 22:45:00,16.56,391.85
229,15-Jun-13 23:00:00,16.56,391.90
230,15-Jun-13 23:15:00,16.50,391.90
231,15-Jun-13 23:30:00,16.44,391.90
232,15-Jun-13 23:45:00,16.38,391.99
233,16-Jun-13 00:00:00,16.31,392.07
234,16-Jun-13 00:15:00,16.25,391.90
235,16-Jun-13 00:30:00,16.25,391.99
236,16-Jun-13 00:45:00,16.19,391.93
237,16-Jun-13 01:00:00,16.19,391.88
238,16-Jun-13 01:15:00,16.13,391.88
239,16-Jun-13 01:30:00,16.06,391.85
240,16-Jun-13 01:45:00,16.06,391.82
241,16-Jun-13 02:00:00,16.00,391.77
242,16-Jun-13 02:15:00,15.94,391.74
243,16-Jun-13 02:30:00,15.94,391.74
244,16-Jun-13 02:45:00,15.94,391.65
245,16-Jun-13 03:00:00,15.88,391.65
246,16-Jun-13 03:15:00,15.88,391.60
247,16-Jun-13 03:30:00,15.88,391.60
248,16-Jun-13 03:45:00,15.88,391.68
249,16-Jun-13 04:00:00,15.88,391.65
250,16-Jun-13 04:15:00,15.88,391.68
251,16-Jun-13 04:30:00,15.88,391.71
252,16-Jun-13 04:45:00,15.94,391.65
253,16-Jun-13 05:00:00,15.94,391.68
254,16-Jun-13 05:15:00,15.94,391.68
255,16-Jun-13 05:30:00,15.94,391.74
256,16-Jun-13 05:45:00,15.94,391.77
257,16-Jun-13 06:00:00,15.94,391.82
258,16-Jun-13 06:15:00,15.94,391.91
259,16-Jun-13 06:30:00,15.94,391.93
260,16-Jun-13 06:45:00,15.94,391.93
261,16-Jun-13 07:00:00,15.94,391.96
262,16-Jun-13 07:15:00,15.94,392.02
263,16-Jun-13 07:30:00,15.94,392.02
264,16-Jun-13 07:45:00,15.94,392.05
265,16-Jun-13 08:00:00,16.00,392.02
266,16-Jun-13 08:15:00,16.00,392.05
267,16-Jun-13 08:30:00,16.06,392.02
268,16-Jun-13 08:45:00,16.06,392.02
269,16-Jun-13 09:00:00,16.06,392.05
270,16-Jun-13 09:15:00,16.13,392.02
271,16-Jun-13 09:30:00,16.25,391.99
272,16-Jun-13 09:45:00,16.25,391.90
273,16-Jun-13 10:00:00,16.31,391.85
274,16-Jun-13 10:15:00,16.38,391.82
275,16-Jun-13 10:30:00,16.50,391.79
276,16-Jun-13 10:45:00,16.56,391.76
277,16-Jun-13 11:00:00,16.69,391.74
278,16-Jun-13 11:15:00,16.81,391.65
279,16-Jun-13 11:30:00,16.88,391.54
280,16-Jun-13 11:45:00,16.94,391.54
281,16-Jun-13 12:00:00,17.06,391.54
282,16-Jun-13 12:15:00,17.19,391.45
283,16-Jun-13 12:30:00,17.38,391.40
284,16-Jun-13 12:45:00,17.50,391.48
285,16-Jun-13 13:00:00,17.50,391.48
286,16-Jun-13 13:15:00,17.50,391.40
287,16-Jun-13 13:30:00,17.63,391.29
288,16-Jun-13 13:45:00,17.69,391.29
289,16-Jun-13 14:00:00,17.75,391.26
290,16-Jun-13 14:15:00,17.75,391.20
291,16-Jun-13 14:30:00,17.69,391.17
292,16-Jun-13 14:45:00,17.69,391.15
293,16-Jun-13 15:00:00,17.75,391.12
294,16-Jun-13 15:15:00,17.88,391.09
295,16-Jun-13 15:30:00,17.88,391.12
296,16-Jun-13 15:45:00,17.94,391.06
297,16-Jun-13 16:00:00,17.94,391.09
298,16-Jun-13 16:15:00,17.94,391.03
299,16-Jun-13 16:30:00,17.88,390.98
300,16-Jun-13 16:45:00,17.94,390.89
301,16-Jun-13 17:00:00,17.88,390.95
302,16-Jun-13 17:15:00,17.94,390.98
303,16-Jun-13 17:30:00,17.94,390.95
304,16-Jun-13 17:45:00,17.88,390.92
305,16-Jun-13 18:00:00,17.88,390.84
306,16-Jun-13 18:15:00,17.88,390.89
307,16-Jun-13 18:30:00,17.88,390.89
308,16-Jun-13 18:45:00,17.88,390.87
309,16-Jun-13 19:00:00,17.88,390.95
310,16-Jun-13 19:15:00,17.81,391.01
311,16-Jun-13 19:30:00,17.81,391.03
312,16-Jun-13 19:45:00,17.75,391.01
313,16-Jun-13 20:00:00,17.75,391.06
314,16-Jun-13 20:15:00,17.75,391.01
315,16-Jun-13 20:30:00,17.69,391.06
316,16-Jun-13 20:45:00,17.69,391.12
317,16-Jun-13 21:00:00,17.69,391.26
318,16-Jun-13 21:15:00,17.63,391.37
319,16-Jun-13 21:30:00,17.63,391.45
320,16-Jun-13 21:45:00,17.56,391.54
321,16-Jun-13 22:00:00,17.63,391.62
322,16-Jun-13 22:15:00,17.56,391.54
323,16-Jun-13 22:30:00,17.50,391.37
324,16-Jun-13 22:45:00,17.44,391.48
325,16-Jun-13 23:00:00,17.44,391.48
326,16-Jun-13 23:15:00,17.38,391.45
327,16-Jun-13 23:30:00,17.38,391.45
328,16-Jun-13 23:45:00,17.31,391.43
329,17-Jun-13 00:00:00,17.25,391.43
330,17-Jun-13 00:15:00,17.25,391.51
331,17-Jun-13 00:30:00,17.19,391.45
332,17-Jun-13 00:45:00,17.19,391.54
333,17-Jun-13 01:00:00,17.19,391.54
334,17-Jun-13 01:15:00,17.19,391.45
335,17-Jun-13 01:30:00,17.13,391.46
336,17-Jun-13 01:45:00,17.13,391.40
337,17-Jun-13 02:00:00,17.06,391.37
338,17-Jun-13 02:15:00,17.06,391.43
339,17-Jun-13 02:30:00,17.00,391.37
340,17-Jun-13 02:45:00,17.00,391.29
341,17-Jun-13 03:00:00,16.94,391.26
342,17-Jun-13 03:15:00,16.94,391.26
343,17-Jun-13 03:30:00,16.94,391.26
344,17-Jun-13 03:45:00,16.88,391.23
345,17-Jun-13 04:00:00,16.88,391.23
346,17-Jun-13 04:15:00,16.88,391.26
347,17-Jun-13 04:30:00,16.88,391.15
348,17-Jun-13 04:45:00,16.88,391.18
349,17-Jun-13 05:00:00,16.81,391.23
350,17-Jun-13 05:15:00,16.81,391.20
351,17-Jun-13 05:30:00,16.75,391.20
352,17-Jun-13 05:45:00,16.75,391.23
353,17-Jun-13 06:00:00,16.75,391.26
354,17-Jun-13 06:15:00,16.75,391.23
355,17-Jun-13 06:30:00,16.75,391.29
356,17-Jun-13 06:45:00,16.75,391.32
357,17-Jun-13 07:00:00,16.75,391.20
358,17-Jun-13 07:15:00,16.69,391.15
359,17-Jun-13 07:30:00,16.69,391.21
360,17-Jun-13 07:45:00,16.69,391.18
361,17-Jun-13 08:00:00,16.69,391.23
362,17-Jun-13 08:15:00,16.69,391.23
363,17-Jun-13 08:30:00,16.69,391.34
364,17-Jun-13 08:45:00,16.75,391.32
365,17-Jun-13 09:00:00,16.69,391.26
366,17-Jun-13 09:15:00,16.75,391.26
367,17-Jun-13 09:30:00,16.75,391.26
368,17-Jun-13 09:45:00,16.81,391.23
369,17-Jun-13 10:00:00,16.81,391.20
370,17-Jun-13 10:15:00,16.88,391.23
371,17-Jun-13 10:30:00,16.94,391.18
372,17-Jun-13 10:45:00,17.06,391.18
373,17-Jun-13 11:00:00,17.06,391.20
374,17-Jun-13 11:15:00,17.13,391.15
375,17-Jun-13 11:30:00,17.13,391.18
376,17-Jun-13 11:45:00,17.19,391.15
377,17-Jun-13 12:00:00,17.19,391.18
378,17-Jun-13 12:15:00,17.19,391.12
379,17-Jun-13 12:30:00,17.31,391.06
380,17-Jun-13 12:45:00,17.44,391.01
381,17-Jun-13 13:00:00,17.56,390.95
382,17-Jun-13 13:15:00,17.63,390.95
383,17-Jun-13 13:30:00,17.88,390.89
384,17-Jun-13 13:45:00,18.00,390.95
385,17-Jun-13 14:00:00,18.06,390.92
386,17-Jun-13 14:15:00,18.13,390.84
387,17-Jun-13 14:30:00,18.06,390.73
388,17-Jun-13 14:45:00,18.13,390.67
389,17-Jun-13 15:00:00,18.13,390.61
390,17-Jun-13 15:15:00,18.25,390.53
391,17-Jun-13 15:30:00,18.31,390.56
392,17-Jun-13 15:45:00,18.38,390.39
393,17-Jun-13 16:00:00,18.44,390.28
394,17-Jun-13 16:15:00,18.50,390.28
395,17-Jun-13 16:30:00,18.50,390.22
396,17-Jun-13 16:45:00,18.50,390.28
397,17-Jun-13 17:00:00,18.44,390.19
398,17-Jun-13 17:15:00,18.31,390.14
399,17-Jun-13 17:30:00,18.31,390.08
400,17-Jun-13 17:45:00,18.31,390.17
401,17-Jun-13 18:00:00,18.31,390.14
402,17-Jun-13 18:15:00,18.31,390.19
403,17-Jun-13 18:30:00,18.25,390.20
404,17-Jun-13 18:45:00,18.25,390.31
405,17-Jun-13 19:00:00,18.25,390.31
406,17-Jun-13 19:15:00,18.25,390.25
407,17-Jun-13 19:30:00,18.19,390.22
408,17-Jun-13 19:45:00,18.19,390.28
409,17-Jun-13 20:00:00,18.13,390.14
410,17-Jun-13 20:15:00,18.06,390.14
411,17-Jun-13 20:30:00,18.06,390.17
412,17-Jun-13 20:45:00,18.00,390.20
413,17-Jun-13 21:00:00,17.94,390.25
414,17-Jun-13 21:15:00,17.88,390.28
415,17-Jun-13 21:30:00,17.88,390.31
416,17-Jun-13 21:45:00,17.88,390.36
417,17-Jun-13 22:00:00,17.81,390.39
418,17-Jun-13 22:15:00,17.75,390.39
419,17-Jun-13 22:30:00,17.75,390.50
420,17-Jun-13 22:45:00,17.69,390.59
421,17-Jun-13 23:00:00,17.69,390.59
422,17-Jun-13 23:15:00,17.63,390.59
423,17-Jun-13 23:30:00,17.56,390.53
424,17-Jun-13 23:45:00,17.56,390.53
425,18-Jun-13 00:00:00,17.56,390.50
426,18-Jun-13 00:15:00,17.50,390.50
427,18-Jun-13 00:30:00,17.50,390.56
428,18-Jun-13 00:45:00,17.50,390.31
429,18-Jun-13 01:00:00,17.50,390.20
430,18-Jun-13 01:15:00,17.44,390.09
431,18-Jun-13 01:30:00,17.44,390.06
432,18-Jun-13 01:45:00,17.44,389.95
433,18-Jun-13 02:00:00,17.38,389.92
434,18-Jun-13 02:15:00,17.38,389.83
435,18-Jun-13 02:30:00,17.38,389.75
436,18-Jun-13 02:45:00,17.31,389.72
437,18-Jun-13 03:00:00,17.31,389.70
438,18-Jun-13 03:15:00,17.31,389.67
439,18-Jun-13 03:30:00,17.31,389.50
440,18-Jun-13 03:45:00,17.31,389.36
441,18-Jun-13 04:00:00,17.31,389.33
442,18-Jun-13 04:15:00,17.25,389.33
443,18-Jun-13 04:30:00,17.25,389.36
444,18-Jun-13 04:45:00,17.25,389.42
445,18-Jun-13 05:00:00,17.19,389.36
446,18-Jun-13 05:15:00,17.19,389.42
447,18-Jun-13 05:30:00,17.19,389.42
448,18-Jun-13 05:45:00,17.13,389.47
449,18-Jun-13 06:00:00,17.13,389.50
450,18-Jun-13 06:15:00,17.13,389.53
451,18-Jun-13 06:30:00,17.13,389.56
452,18-Jun-13 06:45:00,17.13,389.50
453,18-Jun-13 07:00:00,17.06,389.53
454,18-Jun-13 07:15:00,17.06,389.53
455,18-Jun-13 07:30:00,17.06,389.53
456,18-Jun-13 07:45:00,17.06,389.50
457,18-Jun-13 08:00:00,17.06,389.56
458,18-Jun-13 08:15:00,17.06,389.61
459,18-Jun-13 08:30:00,17.06,389.61
460,18-Jun-13 08:45:00,17.06,389.61
461,18-Jun-13 09:00:00,17.06,389.61
462,18-Jun-13 09:15:00,17.06,389.67
463,18-Jun-13 09:30:00,17.13,389.67
464,18-Jun-13 09:45:00,17.13,389.72
465,18-Jun-13 10:00:00,17.13,389.78
466,18-Jun-13 10:15:00,17.13,389.86
467,18-Jun-13 10:30:00,17.13,389.81
468,18-Jun-13 10:45:00,17.13,389.89
469,18-Jun-13 11:00:00,17.19,389.95
470,18-Jun-13 11:15:00,17.19,389.89
471,18-Jun-13 11:30:00,17.19,390.06
472,18-Jun-13 11:45:00,17.13,390.25
473,18-Jun-13 12:00:00,17.13,390.20
474,18-Jun-13 12:15:00,17.13,389.95
475,18-Jun-13 12:30:00,17.13,389.86
476,18-Jun-13 12:45:00,17.13,389.78
477,18-Jun-13 13:00:00,17.13,389.70
478,18-Jun-13 13:15:00,17.19,389.58
479,18-Jun-13 13:30:00,17.25,389.56
480,18-Jun-13 13:45:00,17.25,389.42
481,18-Jun-13 14:00:00,17.31,389.28
482,18-Jun-13 14:15:00,17.38,389.28
483,18-Jun-13 14:30:00,17.44,389.25
484,18-Jun-13 14:45:00,17.44,389.25
485,18-Jun-13 15:00:00,17.44,389.33
486,18-Jun-13 15:15:00,17.38,389.22
487,18-Jun-13 15:30:00,17.44,389.22
488,18-Jun-13 15:45:00,17.44,389.22
489,18-Jun-13 16:00:00,17.38,389.08
490,18-Jun-13 16:15:00,17.38,389.08
491,18-Jun-13 16:30:00,17.38,389.22
492,18-Jun-13 16:45:00,17.44,389.11
493,18-Jun-13 17:00:00,17.44,389.16
494,18-Jun-13 17:15:00,17.38,389.11
495,18-Jun-13 17:30:00,17.38,389.11
496,18-Jun-13 17:45:00,17.44,389.14
497,18-Jun-13 18:00:00,17.44,389.00
498,18-Jun-13 18:15:00,17.44,389.02
499,18-Jun-13 18:30:00,17.38,389.02
500,18-Jun-13 18:45:00,17.38,389.05
501,18-Jun-13 19:00:00,17.38,389.08
502,18-Jun-13 19:15:00,17.31,389.14
503,18-Jun-13 19:30:00,17.31,389.16
504,18-Jun-13 19:45:00,17.31,389.28
505,18-Jun-13 20:00:00,17.25,389.30
506,18-Jun-13 20:15:00,17.25,389.36
507,18-Jun-13 20:30:00,17.25,389.47
508,18-Jun-13 20:45:00,17.19,389.50
509,18-Jun-13 21:00:00,17.19,389.56
510,18-Jun-13 21:15:00,17.13,389.64
511,18-Jun-13 21:30:00,17.06,389.56
512,18-Jun-13 21:45:00,17.06,389.72
513,18-Jun-13 22:00:00,17.00,389.75
514,18-Jun-13 22:15:00,17.00,389.98
515,18-Jun-13 22:30:00,16.94,390.06
516,18-Jun-13 22:45:00,16.94,390.14
517,18-Jun-13 23:00:00,16.88,390.23
518,18-Jun-13 23:15:00,16.81,390.14
519,18-Jun-13 23:30:00,16.81,390.20
520,18-Jun-13 23:45:00,16.75,390.20
521,19-Jun-13 00:00:00,16.75,390.20
522,19-Jun-13 00:15:00,16.69,390.23
523,19-Jun-13 00:30:00,16.69,390.28
524,19-Jun-13 00:45:00,16.63,390.23
525,19-Jun-13 01:00:00,16.56,390.17
526,19-Jun-13 01:15:00,16.56,390.26
527,19-Jun-13 01:30:00,16.50,390.26
528,19-Jun-13 01:45:00,16.50,390.23
529,19-Jun-13 02:00:00,16.44,390.17
530,19-Jun-13 02:15:00,16.44,390.20
531,19-Jun-13 02:30:00,16.38,390.15
532,19-Jun-13 02:45:00,16.38,390.03
533,19-Jun-13 03:00:00,16.31,390.09
534,19-Jun-13 03:15:00,16.31,390.17
