Reservoir,Year,Date,FLOWAVG_cmn,FLOWAVG_cms,FLOWMDN_cmn,FLOWMDN_cms,FLOWSUM_cmd,FLOWSE_cmn,FLOWSE_cms,RTIME_days,WTEMP_C
FCR,2014,2014-03-02 12:00:00,1.42959256,0.023826543,1.394171505,0.023236192,2058.613287,0.009552867,0.000159214,150.6104227,5.546979167
FCR,2014,2014-03-03 12:00:00,2.172043031,0.036200717,2.119068096,0.035317802,3127.741965,0.039437382,0.00065729,102.2136689,4.311770833
FCR,2014,2014-03-04 12:00:00,1.888932743,0.031482212,1.814074217,0.03023457,2720.06315,0.01510343,0.000251724,114.2104759,2.398229167
FCR,2014,2014-03-05 12:00:00,1.6883523,0.028139205,1.670154977,0.027835916,2431.227312,0.007664867,0.000127748,127.2756701,3.983333333
FCR,2014,2014-03-06 12:00:00,1.573218976,0.026220316,1.572800633,0.026213344,2265.435325,0.005598483,9.33E-05,136.4894379,3.555208333
FCR,2014,2014-03-07 12:00:00,1.611120499,0.026852008,1.605041395,0.02675069,2320.013518,0.004973092,8.29E-05,133.2377236,3.2046875
FCR,2014,2014-03-08 12:00:00,1.094666876,0.018244448,0.907114002,0.015118567,1576.320301,0.033963091,0.000566052,212.1493314,5.792708333
FCR,2014,2014-03-09 12:00:00,0.768476391,0.01280794,0.763384538,0.012723076,1106.606004,0.003431753,5.72E-05,279.6144248,7.008333333
FCR,2014,2014-03-10 12:00:00,0.745602313,0.012426705,0.746521561,0.012442026,1073.667331,0.003217589,5.36E-05,288.1658828,7.013958333
FCR,2014,2014-03-11 12:00:00,0.734088069,0.012234801,0.729782536,0.012163042,1057.086819,0.002500174,4.17E-05,292.4791129,8.940833333
FCR,2014,2014-03-12 12:00:00,0.752347817,0.01253913,0.721459817,0.01202433,1083.380856,0.007812844,0.000130214,287.6344553,8.51625
FCR,2014,2014-03-13 12:00:00,0.775303495,0.012921725,0.746521561,0.012442026,1116.437033,0.009024946,0.000150416,279.9777981,4.055833333
FCR,2014,2014-03-14 12:00:00,0.659125957,0.010985433,0.624071763,0.010401196,949.1413775,0.008175727,0.000136262,329.7517213,5.040416667
FCR,2014,2014-03-15 12:00:00,0.630258072,0.010504301,0.632009229,0.010533487,907.5716238,0.004039909,6.73E-05,341.6127125,7.600729167
FCR,2014,2014-03-16 12:00:00,0.685533023,0.01142555,0.656018281,0.010933638,987.1675534,0.009028277,0.000150471,317.8339527,5.675
