Reservoir,Year,Date,Depth,Total_chlorophyll,Green_algae,Cyanobacteria,Diatoms,Cryptophyta
SHR,2014,2014-05-08,15.15,0.73,0.15,0.01,0.2,0.36
SHR,2014,2014-05-08,15.17,0.77,0.12,0.05,0.18,0.42
SHR,2014,2014-05-08,15.18,0.73,0,0,0.37,0.36
SHR,2014,2014-05-08,15.23,0.7,0,0,0.43,0.27
SHR,2014,2014-05-08,15.25,0.69,0,0,0.38,0.31
SHR,2014,2014-05-08,15.32,0.61,0.1,0,0.06,0.45
SHR,2014,2014-05-08,15.4,0.72,0,0,0.38,0.33
SHR,2014,2014-05-08,15.48,0.75,0,0,0.39,0.36
SHR,2014,2014-05-08,15.54,0.63,0,0,0.21,0.42
SHR,2014,2014-05-08,15.56,0.73,0,0,0.39,0.34
SHR,2014,2014-05-08,15.61,0.67,0,0,0.31,0.36
SHR,2014,2014-05-08,15.67,0.71,0.05,0.02,0.39,0.25
SHR,2014,2014-05-08,15.71,0.71,0,0,0.36,0.34
SHR,2014,2014-05-08,15.67,0.79,0,0,0.42,0.36
SHR,2014,2014-05-08,15.69,0.66,0.02,0,0.27,0.38
SHR,2014,2014-05-08,15.71,0.74,0,0,0.4,0.34
SHR,2014,2014-05-08,15.69,0.72,0,0,0.41,0.31
SHR,2014,2014-05-08,15.69,0.72,0,0,0.4,0.32
SHR,2014,2014-05-08,15.7,0.73,0,0,0.41,0.32
SHR,2014,2014-05-08,15.69,0.76,0,0,0.4,0.36
SHR,2014,2014-05-08,15.74,0.73,0,0,0.4,0.33
SHR,2014,2014-05-08,15.7,0.72,0,0,0.35,0.37
SHR,2014,2014-05-08,15.69,0.83,0.13,0,0.45,0.24
SHR,2014,2014-05-08,15.69,0.65,0,0,0.33,0.32
SHR,2014,2014-05-08,15.63,0.69,0,0,0.38,0.31
SHR,2014,2014-05-08,15.63,0.73,0.04,0,0.37,0.32
SHR,2014,2014-05-08,15.62,0.82,0.01,0,0.5,0.3
SHR,2014,2014-05-08,15.59,0.73,0,0,0.28,0.45
SHR,2014,2014-05-08,15.59,0.75,0.01,0,0.46,0.28
SHR,2014,2014-05-08,15.6,0.73,0.05,0,0.3,0.38
SHR,2014,2014-05-08,15.61,0.71,0.02,0,0.41,0.29
SHR,2014,2014-05-08,15.61,0.77,0.01,0,0.44,0.32
SHR,2014,2014-05-08,15.61,0.72,0.09,0,0.33,0.3
SHR,2014,2014-05-08,15.62,0.66,0,0,0.36,0.3
SHR,2014,2014-05-08,15.63,0.71,0,0,0.33,0.38
SHR,2014,2014-05-08,15.66,0.69,0,0,0.44,0.25
SHR,2014,2014-05-08,15.68,0.81,0.13,0,0.41,0.28
SHR,2014,2014-05-08,15.69,0.73,0,0,0.35,0.38
SHR,2014,2014-05-08,15.72,0.71,0.02,0,0.35,0.34
SHR,2014,2014-05-08,15.72,0.7,0,0,0.41,0.29
SHR,2014,2014-05-08,15.75,0.8,0.11,0,0.35,0.34
SHR,2014,2014-05-08,15.75,0.69,0,0,0.28,0.41
SHR,2014,2014-05-08,15.76,0.76,0,0,0.59,0.17
SHR,2014,2014-05-08,15.77,0.7,0,0,0.32,0.39
SHR,2014,2014-05-08,15.77,0.68,0,0,0.3,0.38
SHR,2014,2014-05-08,15.78,0.68,0,0,0.29,0.39
SHR,2014,2014-05-08,15.79,0.74,0.12,0.01,0.29,0.32
SHR,2014,2014-05-08,15.8,0.74,0,0,0.38,0.36
SHR,2014,2014-05-08,15.81,0.68,0,0,0.34,0.34
SHR,2014,2014-05-08,15.79,0.71,0,0,0.36,0.35
SHR,2014,2014-05-08,15.79,0.72,0.06,0,0.36,0.3
SHR,2014,2014-05-08,15.79,0.71,0,0,0.38,0.33
SHR,2014,2014-05-08,15.81,0.72,0,0,0.35,0.37
SHR,2014,2014-05-08,15.82,0.76,0.02,0,0.33,0.41
SHR,2014,2014-05-08,15.8,0.79,0,0,0.51,0.29
SHR,2014,2014-05-08,15.79,0.77,0.13,0,0.32,0.32
SHR,2014,2014-05-08,15.92,0.67,0,0,0.36,0.31
SHR,2014,2014-05-08,16.05,0.71,0,0,0.27,0.44
SHR,2014,2014-05-08,16.17,0.66,0,0,0.28,0.38
SHR,2014,2014-05-08,16.34,0.72,0.09,0,0.14,0.5
SHR,2014,2014-05-08,16.53,0.69,0,0,0.31,0.38
SHR,2014,2014-05-08,16.7,0.72,0.04,0,0.36,0.32
SHR,2014,2014-05-08,16.92,0.8,0,0,0.4,0.4
SHR,2014,2014-05-08,17.01,0.78,0,0,0.22,0.56
SHR,2014,2014-05-08,17.13,0.74,0,0,0.39,0.35
SHR,2014,2014-05-08,17.28,0.75,0,0,0.28,0.47
SHR,2014,2014-05-08,17.39,0.76,0,0,0.37,0.38
SHR,2014,2014-05-08,17.52,0.8,0,0,0.34,0.45
SHR,2014,2014-05-08,17.58,0.78,0,0,0.45,0.32
SHR,2014,2014-05-08,17.7,0.72,0,0,0.27,0.45
SHR,2014,2014-05-08,17.79,0.89,0,0,0.42,0.46
SHR,2014,2014-05-08,17.94,0.75,0,0,0.28,0.47
SHR,2014,2014-05-08,18.07,0.75,0,0,0.29,0.46
SHR,2014,2014-05-08,18.21,0.81,0,0,0.38,0.43
SHR,2014,2014-05-08,18.37,0.78,0,0,0.25,0.54
SHR,2014,2014-05-08,18.49,0.82,0,0.04,0.33,0.44
SHR,2014,2014-05-08,18.62,0.88,0,0,0.42,0.46
SHR,2014,2014-05-08,18.83,0.84,0,0,0.28,0.56
SHR,2014,2014-05-08,18.95,0.83,0,0,0.27,0.56
SHR,2014,2014-05-08,19.09,0.82,0,0,0.29,0.53
SHR,2014,2014-05-08,19.31,0.85,0,0,0.27,0.58
SHR,2014,2014-05-08,19.37,0.86,0,0,0.36,0.5
SHR,2014,2014-05-08,19.6,0.83,0,0,0.34,0.49
SHR,2014,2014-05-08,19.72,0.82,0,0,0.31,0.52
SHR,2014,2014-05-08,19.88,0.83,0,0,0.28,0.54
SHR,2014,2014-05-08,20.02,0.85,0,0,0.3,0.55
SHR,2014,2014-05-08,20.16,0.81,0,0,0.26,0.55
SHR,2014,2014-05-08,20.31,0.75,0,0.01,0.15,0.59
SHR,2014,2014-05-08,20.46,0.78,0,0,0.23,0.54
SHR,2014,2014-05-08,20.62,0.82,0,0.01,0.24,0.57
SHR,2014,2014-05-08,20.74,0.82,0,0,0.24,0.58
SHR,2014,2014-05-08,20.9,0.76,0,0,0.16,0.6
SHR,2014,2014-05-08,21.01,0.81,0,0,0.25,0.56
SHR,2014,2014-05-08,21.17,0.84,0,0,0.31,0.53
SHR,2014,2014-05-08,21.28,0.84,0,0.05,0.26,0.53
SHR,2014,2014-05-08,21.4,0.83,0,0,0.26,0.57
SHR,2014,2014-05-08,21.53,0.79,0,0,0.23,0.56
SHR,2014,2014-05-08,21.61,0.86,0,0,0.31,0.55
SHR,2014,2014-05-08,21.73,0.77,0,0,0.1,0.67
SHR,2014,2014-05-08,21.85,0.8,0,0.01,0.2,0.59
SHR,2014,2014-05-08,22,0.82,0,0.03,0.25,0.54
SHR,2014,2014-05-08,22.12,0.77,0,0.01,0.15,0.61
SHR,2014,2014-05-08,22.19,0.84,0,0,0.22,0.62
SHR,2014,2014-05-08,22.24,0.79,0,0,0.17,0.62
SHR,2014,2014-05-08,22.39,0.82,0,0,0.28,0.55
SHR,2014,2014-05-08,22.57,0.79,0,0,0.15,0.64
SHR,2014,2014-05-08,22.75,0.84,0,0,0.18,0.66
SHR,2014,2014-05-08,22.94,0.86,0,0,0.26,0.6
SHR,2014,2014-05-08,23.14,0.82,0,0,0.16,0.66
SHR,2014,2014-05-08,23.31,0.83,0,0.02,0.21,0.6
SHR,2014,2014-05-08,23.47,0.83,0,0,0.18,0.65
SHR,2014,2014-05-08,23.6,0.85,0,0,0.18,0.67
SHR,2014,2014-05-08,23.8,0.87,0,0,0.26,0.62
SHR,2014,2014-05-08,24.01,0.84,0,0,0.16,0.68
SHR,2014,2014-05-08,24.11,0.79,0,0,0.14,0.65
SHR,2014,2014-05-08,24.3,0.86,0,0.01,0.21,0.64
SHR,2014,2014-05-08,24.44,0.82,0,0,0.14,0.67
SHR,2014,2014-05-08,24.59,0.81,0,0,0.16,0.64
SHR,2014,2014-05-08,24.75,0.81,0,0,0.12,0.69
SHR,2014,2014-05-08,24.89,0.83,0,0,0.21,0.62
SHR,2014,2014-05-08,25.06,0.84,0,0,0.2,0.64
SHR,2014,2014-05-08,25.22,0.85,0,0,0.18,0.68
SHR,2014,2014-05-08,25.34,0.84,0,0,0.2,0.63
SHR,2014,2014-05-08,25.57,0.8,0,0,0.08,0.72
SHR,2014,2014-05-08,25.68,0.8,0,0,0.12,0.68
SHR,2014,2014-05-08,25.82,0.74,0,0,0.08,0.66
SHR,2014,2014-05-08,26.03,0.74,0,0,0,0.74
SHR,2014,2014-05-08,26.2,0.77,0,0,0.06,0.71
SHR,2014,2014-05-08,26.37,0.72,0,0,0,0.72
SHR,2014,2014-05-08,26.55,0.83,0,0,0,0.83
SHR,2014,2014-05-08,26.73,0.75,0,0,0,0.75
SHR,2014,2014-05-08,26.88,0.74,0,0,0,0.74
SHR,2014,2014-05-08,27.06,0.71,0,0.01,0,0.7
SHR,2014,2014-05-08,27.21,0.7,0,0,0,0.7
SHR,2014,2014-05-08,27.41,0.76,0,0,0,0.76
SHR,2014,2014-05-08,27.59,0.72,0,0,0,0.72
SHR,2014,2014-05-08,27.75,0.76,0,0,0,0.76
SHR,2014,2014-05-08,27.92,0.74,0,0,0,0.74
SHR,2014,2014-05-08,28.13,0.74,0,0,0,0.74
SHR,2014,2014-05-08,28.19,0.72,0,0,0,0.72
SHR,2014,2014-05-08,28.27,0.74,0,0,0,0.74
SHR,2014,2014-05-08,28.39,0.7,0,0,0,0.7
SHR,2014,2014-05-08,28.55,0.73,0,0,0,0.73
SHR,2014,2014-05-08,28.8,0.72,0,0,0,0.72
SHR,2014,2014-05-08,28.95,0.72,0,0,0,0.72
SHR,2014,2014-05-08,29.2,0.73,0,0,0,0.73
SHR,2014,2014-05-08,29.28,0.72,0,0.03,0,0.69
SHR,2014,2014-05-08,29.38,0.74,0,0,0,0.74
SHR,2014,2014-05-08,29.6,0.72,0,0,0,0.72
SHR,2014,2014-05-08,29.72,0.73,0,0.04,0,0.7
SHR,2014,2014-05-08,29.89,0.73,0,0,0,0.72
SHR,2014,2014-05-08,30.03,0.81,0,0.01,0,0.81
SHR,2014,2014-05-08,30.18,0.79,0,0.04,0,0.74
SHR,2014,2014-05-08,30.38,0.76,0,0,0,0.76
SHR,2014,2014-05-08,30.55,0.75,0,0,0,0.75
SHR,2014,2014-05-08,30.68,0.77,0,0,0,0.76
SHR,2014,2014-05-08,30.78,0.76,0,0,0,0.76
SHR,2014,2014-05-08,30.93,0.73,0,0,0,0.73
SHR,2014,2014-05-08,31.05,0.73,0,0.01,0,0.72
SHR,2014,2014-05-08,31.22,0.74,0,0.01,0,0.73
SHR,2014,2014-05-08,31.42,0.75,0,0,0,0.75
SHR,2014,2014-05-08,31.6,0.74,0,0.03,0,0.71
SHR,2014,2014-05-08,31.77,0.74,0,0.02,0,0.72
SHR,2014,2014-05-08,31.94,0.74,0,0.01,0,0.73
SHR,2014,2014-05-08,32.15,0.76,0,0.01,0,0.75
SHR,2014,2014-05-08,32.3,0.75,0,0,0,0.75
SHR,2014,2014-05-08,32.4,0.79,0,0,0,0.79
SHR,2014,2014-05-08,32.64,0.77,0,0,0,0.77
SHR,2014,2014-05-08,32.84,0.8,0,0,0,0.8
SHR,2014,2014-05-08,33.05,0.78,0,0.02,0,0.76
SHR,2014,2014-05-08,33.21,0.82,0,0,0,0.81
SHR,2014,2014-05-08,33.31,0.79,0,0.01,0,0.78
SHR,2014,2014-05-08,33.51,0.77,0,0,0,0.77
SHR,2014,2014-05-08,33.62,0.78,0,0,0,0.77
SHR,2014,2014-05-08,33.73,0.79,0,0,0,0.79
SHR,2014,2014-05-08,33.92,0.71,0,0.03,0,0.69
SHR,2014,2014-05-08,34.02,0.73,0,0.01,0,0.72
SHR,2014,2014-05-08,34.17,0.76,0,0.04,0,0.71
SHR,2014,2014-05-08,34.36,0.72,0,0.05,0,0.66
SHR,2014,2014-05-08,34.52,0.71,0,0.06,0,0.66
SHR,2014,2014-05-08,34.74,0.68,0,0.05,0,0.64
SHR,2014,2014-05-08,34.89,0.68,0,0.04,0,0.64
SHR,2014,2014-05-08,35.03,0.67,0,0.04,0,0.63
SHR,2014,2014-05-08,35.22,0.68,0,0.03,0,0.65
SHR,2014,2014-05-08,35.39,0.64,0,0.04,0,0.6
SHR,2014,2014-05-08,35.57,0.62,0,0.08,0,0.54
SHR,2014,2014-05-08,35.73,0.6,0,0.04,0,0.57
SHR,2014,2014-05-08,35.83,0.62,0,0.07,0,0.55
SHR,2014,2014-05-08,35.98,0.62,0,0.06,0,0.57
SHR,2014,2014-05-08,36.07,0.6,0,0.05,0,0.55
SHR,2014,2014-05-08,36.18,0.59,0,0.09,0,0.5
SHR,2014,2014-05-08,36.35,0.56,0,0.07,0,0.49
SHR,2014,2014-05-08,36.45,0.62,0,0.06,0,0.55
SHR,2014,2014-05-08,36.56,0.6,0,0.06,0,0.54
SHR,2014,2014-05-08,36.55,0.59,0,0.07,0,0.52
SHR,2014,2014-08-07,0.17,1.47,0,0.77,0.28,0
SHR,2014,2014-08-07,0.23,1.05,1.47,0,0,0
SHR,2014,2014-08-07,0.64,1.47,0.91,0.03,0,0
SHR,2014,2014-08-07,0.71,0.94,0,0,0.68,0
SHR,2014,2014-08-07,0.7,0.68,0.33,0,0.8,0
SHR,2014,2014-08-07,0.67,1.13,0.19,0,0.48,0.25
SHR,2014,2014-08-07,0.68,0.92,0,0,0.81,0
SHR,2014,2014-08-07,0.67,0.81,0,0.29,0,0.29
SHR,2014,2014-08-07,0.67,0.58,0.57,0,0.46,0.15
SHR,2014,2014-08-07,0.67,1.18,0,0,0.63,0
SHR,2014,2014-08-07,0.68,0.63,0,0.49,0.52,0
SHR,2014,2014-08-07,0.71,1,0.32,0.17,0.74,0
SHR,2014,2014-08-07,0.7,1.23,0.36,0,0.04,0.57
SHR,2014,2014-08-07,0.77,0.96,0.18,0.16,0.69,0
SHR,2014,2014-08-07,0.95,1.03,0.3,0.19,0,0
SHR,2014,2014-08-07,1.14,0.49,0,0.12,0.82,0
SHR,2014,2014-08-07,1.39,0.94,1.18,0,0,0.06
SHR,2014,2014-08-07,1.66,1.24,0,0.06,0.87,0
SHR,2014,2014-08-07,1.9,0.93,0.19,0,0.93,0
SHR,2014,2014-08-07,2.12,1.12,0,0,0.73,0.33
SHR,2014,2014-08-07,2.39,1.05,1.14,0,0,0.26
SHR,2014,2014-08-07,2.66,1.39,0.45,0,0,0.72
SHR,2014,2014-08-07,2.95,1.17,1.45,0,0,0.12
SHR,2014,2014-08-07,3.18,1.57,0.93,0,0,0.26
SHR,2014,2014-08-07,3.39,1.19,0.13,0,0.94,0.19
SHR,2014,2014-08-07,3.59,1.26,0,0,1.11,0.02
SHR,2014,2014-08-07,3.87,1.14,0.27,0.03,1,0
SHR,2014,2014-08-07,4.12,1.3,0.31,0,0.71,0.22
SHR,2014,2014-08-07,4.36,1.24,0.44,0,0.69,0.17
SHR,2014,2014-08-07,4.59,1.3,0.56,0,0.69,0.21
SHR,2014,2014-08-07,4.78,1.47,0.34,0,0.97,0.07
SHR,2014,2014-08-07,5.01,1.39,0,0,1.17,0
SHR,2014,2014-08-07,5.22,1.17,0.73,0,0.61,0.08
SHR,2014,2014-08-07,5.37,1.43,0.83,0,0.61,0
SHR,2014,2014-08-07,5.64,1.44,0.34,0,0.87,0
SHR,2014,2014-08-07,5.8,1.21,0.75,0,0.66,0
SHR,2014,2014-08-07,5.94,1.41,0.85,0,0.37,0.11
SHR,2014,2014-08-07,6.12,1.33,0.68,0,0.51,0.12
SHR,2014,2014-08-07,6.29,1.31,0.04,0,0.9,0.09
SHR,2014,2014-08-07,6.4,1.04,0.53,0,0.7,0
SHR,2014,2014-08-07,6.48,1.22,0.66,0.03,0.46,0.2
SHR,2014,2014-08-07,6.55,1.35,0.79,0,0.31,0.27
SHR,2014,2014-08-07,6.71,1.37,0.62,0,0.57,0.01
SHR,2014,2014-08-07,6.85,1.2,0.45,0,0.82,0.04
SHR,2014,2014-08-07,7.03,1.31,0.24,0,0.72,0.14
SHR,2014,2014-08-07,7.18,1.1,0.53,0,0.51,0.19
SHR,2014,2014-08-07,7.38,1.23,0.59,0.04,0.43,0.14
SHR,2014,2014-08-07,7.59,1.2,0.56,0,0.38,0.21
SHR,2014,2014-08-07,7.75,1.14,0.63,0,0.67,0.08
SHR,2014,2014-08-07,7.96,1.38,0.18,0,0.57,0.26
SHR,2014,2014-08-07,8.06,1.01,0.13,0,0.74,0.17
SHR,2014,2014-08-07,8.3,1.04,0.54,0,0.42,0.13
SHR,2014,2014-08-07,8.54,1.09,0.33,0.08,0.53,0.07
SHR,2014,2014-08-07,8.73,1.01,0.38,0,0.39,0.21
SHR,2014,2014-08-07,8.91,0.98,0.08,0.01,0.7,0.17
SHR,2014,2014-08-07,9.11,0.95,0.14,0.08,0.76,0.05
SHR,2014,2014-08-07,9.32,1.03,0.26,0.08,0.54,0.08
SHR,2014,2014-08-07,9.53,0.96,0.12,0.06,0.67,0.07
SHR,2014,2014-08-07,9.75,0.91,0.19,0.01,0.39,0.23
SHR,2014,2014-08-07,10,0.82,0.18,0,0.43,0.26
SHR,2014,2014-08-07,10.21,0.87,0.21,0.02,0.53,0.19
SHR,2014,2014-08-07,10.43,0.95,0.18,0,0.57,0.21
SHR,2014,2014-08-07,10.64,0.96,0.11,0,0.6,0.24
SHR,2014,2014-08-07,10.91,0.94,0.19,0.01,0.57,0.21
SHR,2014,2014-08-07,11.14,0.99,0.14,0,0.59,0.26
SHR,2014,2014-08-07,11.37,0.99,0.22,0,0.57,0.24
SHR,2014,2014-08-07,11.64,1.03,0.19,0,0.66,0.24
SHR,2014,2014-08-07,11.86,1.09,0.14,0,0.65,0.24
