Reservoir,Year,Date,Depth,PO4_ugL,NH4_ugL,NO3_ugL,TP_ugL,TN_ugL,OI TOC Conc (ppm),Used OI TIC Conc (ppm),OI TC Conc (ppm) by addition,Vario TIC Mean of 3 reps,Vario TC Mean of 3 reps,Vario TOC Mean of 3 reps,Vario TNb Mean of 3 reps
GWR,2016,2016-05-25 00:00:00,6,3.96,3.58,4.37,9.31,171,2.399,3.705,6.104,3.947385907,6.642867197,2.695481291,0.145371015
GWR,2016,2016-05-25 00:00:00,13,6.12,37.6,23.3,13,191,2.238,4.0477052,6.2857052,4.27098505,7.024712517,2.753727467,0.132890971
GWR,2016,2016-06-10 00:00:00,0.1,1.32,8.94,3.91,,,3.113,3.281,6.394,3.4178658,6.445730056,3.027864256,0.159758963
GWR,2016,2016-06-10 00:00:00,6,6.19,7,4.03,,,2.865,4.2426076,7.1076076,4.071104317,7.387223897,3.316119581,0.118637399
GWR,2016,2016-06-10 00:00:00,13,3.68,14.6,13.4,12.4,137,2.285,3.471,5.756,3.962131207,6.203365305,2.241234098,0.143935512
GWR,2016,2016-06-25 00:00:00,0.1,6.27,8.11,3.09,,,3,4.2562806,7.2562806,4.479199727,7.893013585,3.413813858,0.201191315
GWR,2016,2016-06-25 00:00:00,6,4.72,8.11,6.29,15.4,174,2.491,4.6759174,7.1669174,4.23967052,6.034538577,1.794868057,0.151737836
GWR,2016,2016-06-25 00:00:00,13,1.07,2.8,1.36,12.1,125,,,,,,,
GWR,2016,2016-06-26 00:00:00,0.1,,12.6,9.66,15.5,191,,,,,,,
GWR,2016,2016-06-26 00:00:00,6,9.47,9.26,6.47,13.5,175,2.68,4.6503116,7.3303116,4.598800493,7.630624395,3.031823902,0.149602591
GWR,2016,2016-06-26 00:00:00,13,8.66,14.7,2.46,,,,,,,,,
GWR,2016,2016-07-08 00:00:00,0.1,3.1,3.82,1.68,11.8,190,,,,,,,
GWR,2016,2016-07-08 00:00:00,6,6.33,5.86,3.47,14.5,197,2.735,4.283378,7.018378,4.465950683,7.647196344,3.181245661,0.109168206
GWR,2016,2016-07-08 00:00:00,13,4.08,3.56,2.92,11.4,125,,,,,,,
GWR,2016,2016-07-22 00:00:00,0.1,5.84,3.36,2.74,13.1,200,2.89,4.4663476,7.3563476,4.803268653,8.215476089,3.412207435,0.156300585
GWR,2016,2016-07-22 00:00:00,6,6.3,3.98,4.69,15.8,187,2.574,4.9187996,7.4927996,4.7305469,7.739032561,3.008485661,0.111158055
GWR,2016,2016-07-22 00:00:00,13,4.61,5.2,8.25,9.9,140,2.113,5.911708,8.024708,4.94449586,7.486310341,2.541814481,0.084689311
GWR,2016,2016-08-09 00:00:00,0.1,,4.75,2.39,11.7,181,2.974,5.2959258,8.2699258,4.918139883,8.526200129,3.608060245,0.126814715
GWR,2016,2016-08-09 00:00:00,6,,,,21.2,224,,,,,,,
GWR,2016,2016-08-09 00:00:00,13,1.75,12.6,-1.19,11,131,2.016,6.0200976,8.0360976,5.114743883,7.571241579,2.456497696,0.079267267
GWR,2016,2016-08-24 00:00:00,0.1,4.51,2.57,6.98,13.1,198,3.167,4.5794606,7.7464606,4.964833333,8.580058962,3.615225629,0.149603405
GWR,2016,2016-08-24 00:00:00,6,5.67,4,5.6,17.5,229,3.406,5.172123,8.578123,5.3400193,9.399334681,4.059315381,0.14003332
GWR,2016,2016-08-24 00:00:00,13,5.06,13.7,7.43,12,128,2.204,6.205056,8.409056,5.704697993,8.340801451,2.636103458,0.112116182
GWR,2016,2016-09-04 00:00:00,0.1,8.12,6.33,2.23,15.1,207,,,,,,,
GWR,2016,2016-09-04 00:00:00,6,1.03,1.94,3.31,12,190,,,,,,,
GWR,2016,2016-09-04 00:00:00,12,,,,13.6,155,,,,,,,
GWR,2016,2016-09-04 00:00:00,13,4.48,,1.43,,,,,,,,,
GWR,2016,2016-09-05 00:00:00,0.1,3.78,3.53,1.4,8.28,188,,,,,,,
GWR,2016,2016-09-05 00:00:00,6,0.437,3.81,6.48,19.4,214,,,,,,,
GWR,2016,2016-09-05 12:00:00,12,,,,14,144,,,,,,,
GWR,2016,2016-09-05 00:00:00,13,,3.42,0.83,,,,,,,,,
GWR,2016,2016-09-23 12:00:00,0.1,2.99,9.63,3.62,10.5,210,,,,,,,
GWR,2016,2016-09-23 12:00:00,6,2.08,3.2,3.44,17.3,224,,,,,,,
GWR,2016,2016-09-23 12:00:00,13,3.3,102,3.03,16,279,,,,,,,
GWR,2016,2016-10-03 00:00:00,0.1,5.87,5.53,5.35,9.34,217,3.059,5.8169914,8.8759914,5.380301393,8.79100606,3.410704667,0.189285822
GWR,2016,2016-10-03 00:00:00,6,3.24,5.25,,16.7,164,2.938,5.416994,8.354994,6.416732147,10.50551226,4.088780117,0.216507429
GWR,2016,2016-10-03 00:00:00,12,6.09,18.5,4.63,13.8,217,2.175,6.5548362,8.7298362,5.5805098,7.877822632,2.297312832,0.125378264
GWR,2016,2016-10-17 12:00:00,0.1,2.26,4.8,3.36,15.5,218,,,,5.078841927,8.11155616,3.032714233,0.179250721
GWR,2016,2016-10-17 12:00:00,9,2.79,27.2,4.85,14.4,211,,,,4.51295008,7.584015789,3.071065709,0.174728328
GWR,2016,2016-10-17 12:00:00,12,2.61,122,2.9,13,284,,,,5.51071538,8.136068834,2.625353454,0.207693233
