Reservoir,Year,Date,Depth,Tot_Na_ugL,Tot_Mg_ugL,Tot_Al_ugL,Tot_Si_ugL,Tot_P_ugL,Tot_S_mgL,Tot_Cl_mgL,Tot_K_ugL,Tot_Ca_ugL,Tot_Ti_ugL,Tot_V_ugL,Tot_Cr_ugL,Tot_Fe_ugL,Tot_Mn_ugL,Tot_Co_ugL,Tot_Ni_ugL,Tot_Cu_ugL,Tot_Zn_ugL,Tot_As_ugL,Tot_Se_ugL,Tot_Sr_ugL,Tot_Mo_ugL,Tot_Ag_ugL,Tot_Cd_ugL,Tot_Sn_ugL,Tot_Ba_ugL,Tot_Ce_ugL,Tot_Pb_ugL,Tot_U_ugL,Sol_Na_ugL,Sol_Mg_ugL,Sol_Al_ugL,Sol_Si_ugL,Sol_P_ugL,Sol_S_mgL,Sol_Cl_mgL,Sol_K_ugL,Sol_Ca_ugL,Sol_Ti_ugL,Sol_V_ugL,Sol_Cr_ugL,Sol_Fe_ugL,Sol_Mn_ugL,Sol_Co_ugL,Sol_Ni_ugL,Sol_Cu_ugL,Sol_Zn_ugL,Sol_As_ugL,Sol_Se_ugL,Sol_Sr_ugL,Sol_Mo_ugL,Sol_Ag_ugL,Sol_Cd_ugL,Sol_Sn_ugL,Sol_Ba_ugL,Sol_Ce_ugL,Sol_Pb_ugL,Sol_U_ugL
BVR,2014,2014-07-02 12:00:00,0.1,2017,719.5,18.5,5096,<10,<0,<0,1319,1449,<1,<1,<1,440.9,27.3,<1,<1,<1,<5,<0.5,<2.5,10.2,<0.1,<1,<1,<1,16.2,0.2,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVR,2014,2014-07-02 12:00:00,4,1973,751.3,14.1,5012,<10,<0,<0,1282,1564,<1,<1,<1,416.7,46,<1,<1,<1,<5,<0.5,<2.5,11.3,<0.1,<1,<1,<1,20.1,0.1,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVR,2014,2014-07-02 12:00:00,8,1890,735.4,5.3,4881,22,<0,<0,1322,1637,<1,<1,<1,515.6,537,<1,<1,<1,<5,<0.5,<2.5,11.2,<0.1,<1,<1,<1,45.3,0.1,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVR,2014,2014-07-02 12:00:00,12,1924,829.6,<5,5509,25.8,<0,<0,1569,2321,<1,<1,<1,35480,2395,3.1,<1,<1,<5,<0.5,<2.5,16.2,<0.1,<1,<1,<1,102.6,0.1,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVR,2014,2014-07-09 12:00:00,0.1,2597,928.5,17.2,6681,<10,1.5,1.5,1669,1827,<1,<1,<1,530,27.3,<1,<1,<1,<5,<0.5,<2.5,12.3,<0.1,<1,<1,<1,17.1,,<1,<1,2597,928.5,17.2,6681,<10,1.5,1.5,1669,1827,<1,<1,<1,530,27.3,<1,<1,<1,<5,<0.5,<2.5,12.3,<0.1,<1,<1,<1,17.1,,<1,<1
BVR,2014,2014-07-09 12:00:00,4,2433,957.6,9.7,6562,<10,1.5,1.4,1585,2071,<1,<1,<1,355.2,145.1,<1,<1,<1,<5,<0.5,<2.5,13.6,<0.1,<1,<1,<1,21.7,,<1,<1,2433,957.6,9.7,6562,<10,1.5,1.4,1585,2054,<1,<1,<1,355.2,62.8,<1,<1,<1,<5,<0.5,<2.5,13.5,<0.1,<1,<1,<1,21.7,,<1,<1
BVR,2014,2014-07-09 12:00:00,8,2374,924.4,<5,6387,61.1,1.5,1.4,1675,2036,<1,<1,<1,561.5,616.3,<1,<1,<1,<5,<0.5,<2.5,13.3,<0.1,<1,<1,<1,54.7,,<1,<1,2374,924.4,<5,6387,61.1,1.5,1.4,1675,2036,<1,<1,<1,561.5,616.3,<1,<1,<1,<5,<0.5,<2.5,13.3,<0.1,<1,<1,<1,51.7,,<1,<1
BVR,2014,2014-07-09 12:00:00,12,2414,1066,6.9,7192,40.3,1.4,1.5,1998,2917,<1,<1,<1,47110,3122,3.7,<1,<1,<5,<0.5,<2.5,19.8,<0.1,<1,<1,<1,115,,<1,<1,2414,1066,6.9,7192,40.3,1.4,1.5,1998,2896,<1,<1,<1,44440,3043,3.6,<1,<1,<5,<0.5,<2.5,19.6,<0.1,<1,<1,<1,112.4,,<1,<1
BVR,2014,2014-07-16 12:00:00,0.1,2172,758.2,10.53,5549,<10,<0,0.98,1327,1431,<1,<1,<1,427.9,24.01,<1,<1,<1,<5,<0.5,<2.5,9.96,<0.1,<1,<1,<1,16.2,0.11,<1,<1,2172,758.2,10.53,5549,<10,<0,0.94,1327,1431,<1,<1,<1,421.1,24.01,<1,<1,<1,<5,<0.5,<2.5,9.96,<0.1,<1,<1,<1,16.2,0.11,<1,<1
BVR,2014,2014-07-16 12:00:00,4,2252,894.5,6.45,5373,<10,<0,0.88,1471,1904,<1,<1,<1,385.1,67.29,<1,<1,<1,<5,<0.5,<2.5,12.9,<0.1,<1,<1,<1,24.97,0.06,<1,<1,2079,813.5,6.45,5366,<10,<0,0.88,1440,1784,<1,<1,<1,350.3,63.9,<1,<1,<1,<5,<0.5,<2.5,11.78,<0.1,<1,<1,<1,23.18,0.06,<1,<1
