Reservoir,Year,Date,Depth,YSI_TEMP,YSI_DOSAT,YSI_DO,YSI_COND,YSI_pH,PAR
GWR,2015,2015-05-30 18:00:00,13,10.7,33.3,3.43,707.8,6.08,0.03
GWR,2015,2015-05-30 18:00:00,14,10.6,30.1,3.11,707.8,6.08,0.003
GWR,2015,2015-06-10 11:00:00,-0.1,NA,NA,NA,NA,NA,1426
GWR,2015,2015-06-10 11:00:00,0,24.6,92.5,7.14,704.6,7.56,1270
GWR,2015,2015-06-10 11:00:00,1,24.3,94.7,7.38,704.6,7.52,522
GWR,2015,2015-06-10 11:00:00,2,24.1,93.9,7.32,704.5,7.55,240
GWR,2015,2015-06-10 11:00:00,3,23.9,94,7.34,704.5,7.46,159.7
GWR,2015,2015-06-10 11:00:00,4,21.8,89,7.23,704.6,7.23,70.99
GWR,2015,2015-06-10 11:00:00,5,18.9,95.6,8.42,704.6,6.85,36.19
GWR,2015,2015-06-10 11:00:00,6,15,74.7,6.97,704.6,6.59,16.19
GWR,2015,2015-06-10 11:00:00,7,13.4,53.7,5.26,704.6,6.48,8.71
GWR,2015,2015-06-10 11:00:00,8,12.3,47,4.66,704.6,6.35,4.72
GWR,2015,2015-06-10 11:00:00,9,11.7,42,4.23,704.6,6.29,2.58
GWR,2015,2015-06-10 11:00:00,10,11.3,36.6,3.72,704.6,6.23,1.31
GWR,2015,2015-06-10 11:00:00,11,11.1,31.9,3.25,704.6,6.18,0.564
GWR,2015,2015-06-10 11:00:00,12,10.9,26.5,2.72,704.5,6.14,0.206
GWR,2015,2015-06-10 11:00:00,13,10.8,23.9,2.46,704.6,6.11,0.035
GWR,2015,2015-06-10 11:00:00,14,10.6,22.1,2.28,704.6,6.07,0.022
GWR,2015,2015-06-22 19:00:00,-0.1,NA,NA,NA,NA,NA,470
GWR,2015,2015-06-22 19:00:00,0,28.2,95.3,6.91,707.5,7.26,275
GWR,2015,2015-06-22 19:00:00,1,28.2,97.1,7.05,707.6,7.42,106
GWR,2015,2015-06-22 19:00:00,2,27.9,98.1,7.16,707.6,7.45,57.42
GWR,2015,2015-06-22 19:00:00,3,27.7,94.6,6.93,707.6,7.45,40.5
GWR,2015,2015-06-22 19:00:00,4,20,104.2,8.81,707.7,6.8,17.81
GWR,2015,2015-06-22 19:00:00,5,16.2,72.5,6.59,707.8,6.46,7.66
GWR,2015,2015-06-22 19:00:00,6,14,45.2,4.32,707.8,6.24,2.81
GWR,2015,2015-06-22 19:00:00,7,12.7,29.7,2.94,707.8,6.1,1.34
GWR,2015,2015-06-22 19:00:00,8,12,31,3.12,707.9,6.04,0.624
GWR,2015,2015-06-22 19:00:00,9,12.3,32.3,3.22,707.9,6.15,0.326
GWR,2015,2015-06-22 19:00:00,10,11.5,29.1,2.96,708,6.09,0.681
GWR,2015,2015-06-22 19:00:00,11,11.2,25.6,2.62,708,6.06,0.085
GWR,2015,2015-06-22 19:00:00,12,10.9,18.1,1.87,708,6.03,0.037
GWR,2015,2015-06-22 19:00:00,13,10.7,14.6,1.51,708,6,0.017
GWR,2015,2015-06-22 19:00:00,14,10.6,11.4,1.18,708,5.99,0
GWR,2015,2015-07-06 17:30:00,-0.1,NA,NA,NA,NA,NA,1500
GWR,2015,2015-07-06 17:30:00,0,25.6,95.5,7.29,708.2,7.48,675
GWR,2015,2015-07-06 17:30:00,1,25.7,93.3,7.1,708.2,7.53,316
GWR,2015,2015-07-06 17:30:00,2,25.6,96.1,7.31,708.1,7.61,163
GWR,2015,2015-07-06 17:30:00,3,25.5,91.6,6.99,708.1,7.6,63.5
GWR,2015,2015-07-06 17:30:00,4,25.3,93.8,7.18,708.2,7.63,35.8
GWR,2015,2015-07-06 17:30:00,5,25,96.3,7.42,708.1,7.56,16.8
GWR,2015,2015-07-06 17:30:00,6,19.1,62,5.35,708.1,6.74,7.23
GWR,2015,2015-07-06 17:30:00,7,15.7,45.5,4.22,708.1,6.46,3.68
GWR,2015,2015-07-06 17:30:00,8,13.1,27.6,2.71,708.1,6.26,1.68
GWR,2015,2015-07-06 17:30:00,9,12,25.1,2.51,708.1,6.2,0.78
GWR,2015,2015-07-06 17:30:00,10,11.6,22,2.22,708.1,6.16,0.53
GWR,2015,2015-07-06 17:30:00,11,11.3,19.1,1.95,708.1,6.11,0.233
GWR,2015,2015-07-06 17:30:00,12,11,12.1,1.22,708.1,5.95,0.071
GWR,2015,2015-07-06 17:30:00,13,10.9,9.5,0.98,708.1,5.96,0.008
GWR,2015,2015-07-06 17:30:00,14,10.8,9.3,0.97,708.1,5.96,0
GWR,2015,2015-07-20 18:30:00,-0.1,NA,NA,NA,NA,NA,214.5
GWR,2015,2015-07-20 18:30:00,0,28.7,102.4,7.3,701.6,7.53,138.8
GWR,2015,2015-07-20 18:30:00,1,28.7,103.4,7.41,701.6,7.54,50.12
GWR,2015,2015-07-20 18:30:00,2,28.5,100.4,7.19,701.6,7.53,38.45
GWR,2015,2015-07-20 18:30:00,3,27.9,98.6,7.11,701.6,7.51,23.58
GWR,2015,2015-07-20 18:30:00,4,25.6,99,7.45,701.6,7.18,13.36
GWR,2015,2015-07-20 18:30:00,5,24.3,76.8,5.98,701.6,6.74,6.27
GWR,2015,2015-07-20 18:30:00,6,22,56.7,4.56,701.6,6.32,3.034
GWR,2015,2015-07-20 18:30:00,7,17.7,31.6,2.78,701.7,6.2,1.279
GWR,2015,2015-07-20 18:30:00,8,14.9,11.4,1.06,701.7,6.1,0.648
GWR,2015,2015-07-20 18:30:00,9,13.4,13.8,1.33,701.8,6.06,0.365
GWR,2015,2015-07-20 18:30:00,10,12.4,15.5,1.53,701.8,6.04,0.209
GWR,2015,2015-07-20 18:30:00,11,11.5,12.7,1.27,701.7,6.02,0.085
GWR,2015,2015-07-20 18:30:00,12,11.1,10.4,1.05,701.7,6.01,0.059
GWR,2015,2015-07-20 18:30:00,13,11,10.3,1.05,701.8,6.01,0.036
GWR,2015,2015-07-20 18:30:00,14,10.9,10.3,1.05,701.9,6.01,0.018
GWR,2015,2015-07-20 18:30:00,15,10.7,10.4,1.06,701.8,6,0
GWR,2015,2015-08-03 19:00:00,-0.1,NA,NA,NA,NA,NA,690.2
GWR,2015,2015-08-03 19:00:00,0,28,99.6,7.22,704.1,7.06,442.4
GWR,2015,2015-08-03 19:00:00,1,27.7,100.3,7.31,704,7.14,110.6
GWR,2015,2015-08-03 19:00:00,2,27.5,96.6,7.05,704,7.21,68.6
GWR,2015,2015-08-03 19:00:00,3,27.2,95,7.01,704,7.25,38.95
GWR,2015,2015-08-03 19:00:00,4,26.7,97.8,7.26,704,7.24,21.19
GWR,2015,2015-08-03 19:00:00,5,26.2,93.8,7.01,704,7.13,11.16
GWR,2015,2015-08-03 19:00:00,6,23,48.6,3.8,704.1,6.1,4.84
GWR,2015,2015-08-03 19:00:00,7,19.7,20.5,1.73,704.1,6.01,2.44
GWR,2015,2015-08-03 19:00:00,8,14.9,9.5,0.89,704.1,6.02,1.19
GWR,2015,2015-08-03 19:00:00,9,13.4,9.4,0.9,704.1,5.99,0.68
GWR,2015,2015-08-03 19:00:00,10,12.4,9.4,0.93,704.1,5.97,0.41
GWR,2015,2015-08-03 19:00:00,11,11.7,9.7,0.98,704.1,5.96,0.27
GWR,2015,2015-08-03 19:00:00,12,11.4,9.8,0.99,704.1,5.96,0.18
GWR,2015,2015-08-03 19:00:00,13,11.1,9.9,1.01,704.1,5.97,0.11
GWR,2015,2015-08-03 19:00:00,14,10.9,10,1.02,704.1,5.99,0.04
GWR,2015,2015-08-15 11:00:00,-0.1,NA,NA,NA,NA,NA,NA
GWR,2015,2015-08-15 11:00:00,0,25.9,90.9,6.9,710.4,7.55,NA
GWR,2015,2015-08-15 11:00:00,1,25.8,95.5,7.29,710.4,7.56,NA
GWR,2015,2015-08-15 11:00:00,2,25.7,92.7,7.08,710.4,7.48,NA
GWR,2015,2015-08-15 11:00:00,3,25.7,94,7.17,710.4,7.51,NA
GWR,2015,2015-08-15 11:00:00,4,25.7,93.8,7.14,710.4,7.49,NA
GWR,2015,2015-08-15 11:00:00,5,25.6,91.3,6.98,710.4,7.49,NA
GWR,2015,2015-08-15 11:00:00,6,23.8,29.4,2.32,710.4,6.84,NA
GWR,2015,2015-08-15 11:00:00,7,20.1,11,0.93,710.4,6.68,NA
GWR,2015,2015-08-15 11:00:00,8,16.2,7.8,0.72,710.4,6.18,NA
GWR,2015,2015-08-15 11:00:00,9,13.9,8.8,0.84,710.5,6.08,NA
GWR,2015,2015-08-15 11:00:00,10,12.6,9.3,0.93,710.4,6.05,NA
GWR,2015,2015-08-15 11:00:00,11,12,9.6,0.97,710.4,6.06,NA
GWR,2015,2015-08-15 11:00:00,12,11.6,9.8,1,710.4,6.05,NA
GWR,2015,2015-08-15 11:00:00,13,11.3,10,1.03,710.4,6.06,NA
GWR,2015,2015-08-15 11:00:00,14,11.1,10.1,1.04,710.4,6.01,NA
GWR,2015,2015-08-30 11:30:00,-0.1,NA,NA,NA,NA,NA,768.4
GWR,2015,2015-08-30 11:30:00,0,24.8,89.3,6.93,710.2,7.17,494.7
GWR,2015,2015-08-30 11:30:00,1,24.7,90.5,7.02,710.3,7.21,226.9
GWR,2015,2015-08-30 11:30:00,2,24.6,88.7,6.9,710.2,7.37,143.7
GWR,2015,2015-08-30 11:30:00,3,24.6,87.1,6.72,710.2,7.36,100.6
GWR,2015,2015-08-30 11:30:00,4,24.6,86.2,6.69,710.2,7.39,66.35
GWR,2015,2015-08-30 11:30:00,5,24.6,84.1,6.52,710.2,7.4,42.59
GWR,2015,2015-08-30 11:30:00,6,24.5,89.5,6.92,710.2,7.4,21.6
GWR,2015,2015-08-30 11:30:00,7,21,9.6,0.8,710.2,6.52,8.59
GWR,2015,2015-08-30 11:30:00,8,16.6,8,0.72,710.2,6.46,4.12
GWR,2015,2015-08-30 11:30:00,9,14.5,8.4,0.8,710.2,6.25,1.97
GWR,2015,2015-08-30 11:30:00,10,13.2,9.1,0.89,710.2,6.15,1.13
GWR,2015,2015-08-30 11:30:00,11,12.1,9.5,0.96,710.3,6.15,0.71
GWR,2015,2015-08-30 11:30:00,12,11.6,9.8,0.99,710.2,6.13,0.35
GWR,2015,2015-08-30 11:30:00,13,11.3,9.8,1,710.3,6.14,0.098
GWR,2015,2015-08-30 11:30:00,14,11.2,9.9,1.01,710.2,6.15,0
GWR,2015,2015-09-17 18:30:00,-0.1,NA,NA,NA,NA,NA,37.52
GWR,2015,2015-09-17 18:30:00,0,22.6,86.7,6.98,707.6,7.26,37.14
GWR,2015,2015-09-17 18:30:00,1,22.5,97.7,7.88,707.6,7.29,16.67
GWR,2015,2015-09-17 18:30:00,2,22.3,98.7,7.98,707.6,7.29,8.58
GWR,2015,2015-09-17 18:30:00,3,22.2,97.9,7.95,707.6,7.26,4.09
GWR,2015,2015-09-17 18:30:00,4,22.1,96.4,7.84,707.6,7.23,2.25
GWR,2015,2015-09-17 18:30:00,5,22,95.4,7.76,707.6,7.29,1.24
GWR,2015,2015-09-17 18:30:00,6,21.9,92,7.51,707.7,7.23,0.63
GWR,2015,2015-09-17 18:30:00,7,21.2,62.7,5.2,707.7,6.92,0.21
GWR,2015,2015-09-17 18:30:00,8,18.5,14.1,1.23,707.7,6.44,0.064
GWR,2015,2015-09-17 18:30:00,9,14.8,9.2,0.86,707.8,6.07,0.031
GWR,2015,2015-09-17 18:30:00,10,13.3,9.9,0.96,707.8,6,0.015
GWR,2015,2015-09-17 18:30:00,11,12.4,10.2,1.01,707.8,5.92,0.006
GWR,2015,2015-09-17 18:30:00,12,11.8,10.3,1.04,707.8,6.16,0.001
GWR,2015,2015-09-17 18:30:00,13,11.6,10.3,1.05,707.8,6.15,0
