Reservoir,Year,Date,Depth,pH
FCR,2015,2015-07-27 12:00:00,8,5.79
FCR,2015,2015-07-27 12:00:00,9,6.22
FCR,2015,2015-08-03 12:00:00,0.1,7.15
FCR,2015,2015-08-03 12:00:00,1.6,7.33
FCR,2015,2015-08-03 12:00:00,3.8,7.29
FCR,2015,2015-08-03 12:00:00,5,6.29
FCR,2015,2015-08-03 12:00:00,6.2,6.2
FCR,2015,2015-08-03 12:00:00,8,5.58
FCR,2015,2015-08-03 12:00:00,9,
FCR,2015,2015-08-10 12:00:00,0.1,
FCR,2015,2015-08-10 12:00:00,1.6,
FCR,2015,2015-08-10 12:00:00,3.8,
FCR,2015,2015-08-10 12:00:00,5,
FCR,2015,2015-08-10 12:00:00,6.2,
FCR,2015,2015-08-10 12:00:00,8,
FCR,2015,2015-08-10 12:00:00,9,
FCR,2015,2015-08-17 12:00:00,0.1,7.64
FCR,2015,2015-08-17 12:00:00,1.6,7.82
FCR,2015,2015-08-17 12:00:00,3.8,7.52
FCR,2015,2015-08-17 12:00:00,5,6.56
FCR,2015,2015-08-17 12:00:00,6.2,6.33
FCR,2015,2015-08-17 12:00:00,8,5.96
FCR,2015,2015-08-17 12:00:00,9,5.78
FCR,2015,2015-08-24 12:00:00,0.1,
FCR,2015,2015-08-24 12:00:00,1.6,
FCR,2015,2015-08-24 12:00:00,3.8,
FCR,2015,2015-08-24 12:00:00,5,
FCR,2015,2015-08-24 12:00:00,6.2,
FCR,2015,2015-08-24 12:00:00,8,
FCR,2015,2015-08-24 12:00:00,9,
FCR,2015,2015-08-31 12:00:00,0.1,7.76
FCR,2015,2015-08-31 12:00:00,0.8,8.04
FCR,2015,2015-08-31 12:00:00,1.6,8.15
FCR,2015,2015-08-31 12:00:00,2.8,7.98
FCR,2015,2015-08-31 12:00:00,3.8,7.43
FCR,2015,2015-08-31 12:00:00,5,6.66
FCR,2015,2015-08-31 12:00:00,6.2,6.17
FCR,2015,2015-08-31 12:00:00,8,5.8
FCR,2015,2015-08-31 12:00:00,9,5.75
FCR,2015,2015-09-14 12:00:00,0.1,6.97
FCR,2015,2015-09-14 12:00:00,1,6.91
FCR,2015,2015-09-14 12:00:00,2,6.92
FCR,2015,2015-09-14 12:00:00,3,6.83
FCR,2015,2015-09-14 12:00:00,4,6.89
FCR,2015,2015-09-14 12:00:00,5,6.08
FCR,2015,2015-09-14 12:00:00,6,6.23
FCR,2015,2015-09-14 12:00:00,7,6.05
FCR,2015,2015-09-14 12:00:00,8,5.96
FCR,2015,2015-09-14 12:00:00,9,5.91
FCR,2015,2015-09-21 12:00:00,0.1,6.77
FCR,2015,2015-09-21 12:00:00,1,6.88
FCR,2015,2015-09-21 12:00:00,2,6.98
FCR,2015,2015-09-21 12:00:00,3,6.99
FCR,2015,2015-09-21 12:00:00,4,7
FCR,2015,2015-09-21 12:00:00,5,6.45
FCR,2015,2015-09-21 12:00:00,6,6.28
FCR,2015,2015-09-21 12:00:00,7,6
FCR,2015,2015-09-21 12:00:00,8,5.94
FCR,2015,2015-09-21 12:00:00,9,5.85
FCR,2015,2015-09-28 12:00:00,0.1,6.41
FCR,2015,2015-09-28 12:00:00,1.6,6.5
FCR,2015,2015-09-28 12:00:00,3.8,6.49
FCR,2015,2015-09-28 12:00:00,5,6.39
FCR,2015,2015-09-28 12:00:00,6.2,6.2
FCR,2015,2015-09-28 12:00:00,8,5.75
FCR,2015,2015-09-28 12:00:00,9,5.7
