Date,Depth_m,Descent Rate (m/s),Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity
2018-05-11T11:01:23Z,9.985,0.069,7.1594,0.9003,13.4502,36.504,23.474814,0.8306,6.869,6.394,362.8558,0.12552,2.9925240124965127
2018-05-11T11:01:23Z,10.004,0.066,7.1579,0.8918,13.4398,36.506,23.475015,0.8305,6.868,6.395,362.8526,0.12556,2.992826848463193
2018-05-11T11:01:23Z,10.02,0.061,7.1557,0.8663,13.4704,36.545,23.499066,0.8259,6.831,6.395,362.6162,0.12552,2.9964145750850313
2018-05-11T11:01:23Z,10.034,0.056,7.1534,0.8125,13.4847,36.565,23.511662,0.8138,6.73,6.395,362.4063,0.12553,2.9983558152248717
2018-05-11T11:01:23Z,10.047,0.052,7.1514,0.7745,13.4602,36.547,23.50034,0.79,6.533,6.394,362.294,0.12562,2.996959427262265
2018-05-11T11:01:23Z,10.058,0.05,7.1499,0.7647,13.4482,36.53,23.48914,0.7612,6.294,6.393,362.119,0.1257,2.9956069646328776
2018-05-11T11:01:23Z,10.069,0.05,7.1489,0.768,13.4623,36.552,23.503221,0.7337,6.067,6.392,362.0975,0.12568,2.9976104728681254
2018-05-11T11:01:23Z,10.081,0.052,7.1487,0.7869,13.478,36.615,23.543624,0.7067,5.844,6.392,362.2916,0.12555,3.003118872850201
2018-05-11T11:01:23Z,10.095,0.055,7.1493,0.8092,13.4854,36.697,23.596724,0.6812,5.634,6.392,362.315,0.12543,3.010214994385644
2018-05-11T11:01:23Z,10.11,0.058,7.1492000000000004,0.8174,13.4606,36.758,23.637344,0.6585,5.446,6.391,362.2089,0.12544,3.0155419002452337
2018-05-11T11:01:23Z,10.125,0.061,7.1486,0.8215,13.4221,36.783,23.653838,0.6387,5.282,6.39,362.1272,0.12552,3.0177734576557165
2018-05-11T11:01:23Z,10.142,0.063,7.1487,0.8217,13.3856,36.806,23.669178,0.6266,5.182,6.39,362.0157,0.12557,3.0197696163659615
2018-05-11T11:01:23Z,10.158,0.064,7.1492000000000004,0.8205,13.2939,36.848,23.695846,0.6186,5.116,6.39,361.9785,0.12556,3.0233881037717287
2018-05-11T11:01:23Z,10.174,0.065,7.1503,0.8248,13.199,36.888,23.722323,0.6069,5.019,6.389,361.9353,0.1255,3.0267800446393722
2018-05-11T11:01:23Z,10.191,0.065,7.1516,0.8274,13.2151,36.908,23.735362,0.591,4.888,6.387,361.8373,0.12546,3.0284100534578897
2018-05-11T11:01:23Z,10.208,0.065,7.1522,0.8346,13.2747,36.894,23.726519,0.5707,4.719,6.386,361.8272,0.12549,3.0271356348925527
2018-05-11T11:01:23Z,10.225,0.066,7.1525,0.8469,13.2784,36.919,23.742388,0.5452,4.509,6.386,361.8123,0.12553,3.029289072805372
2018-05-11T11:01:23Z,10.241,0.066,7.1527,0.8569,13.2594,37.01,23.800249,0.5167,4.273,6.386,361.7436,0.12553,3.037208616660437
2018-05-11T11:01:23Z,10.258,0.065,7.1529,0.8539,13.2594,37.095,23.854717,0.4862,4.021,6.385,361.7716,0.12558,3.044605941418053
2018-05-11T11:01:23Z,10.275,0.064,7.1533,0.8573,13.3389,37.157,23.893051,0.4527,3.744,6.385,361.8922,0.12558,3.04997979432856
2018-05-11T11:01:23Z,10.292,0.061,7.153,0.8888,13.4577,37.243,23.946303,0.4149,3.431,6.385,361.9113,0.12552,3.057510603695997
